ALOGPS_order,Compound_ID,SMILES,logP_exp,N_count,FM,ALOGPS_2_1_logP,ALOGPS_logS,delta_ALOGPS_2_1_logP,abs_delta_ALOGPS_2_1_logP,ALOGPS_output_SMILES
84,CMR_GOLD_085,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)CC4=CC=CC=C4[N+]([O-])=O,2.41,4,FM3,3.02,-4.37,-0.6099999999999999,0.6099999999999999,O=C(OCc1cn(C(C2=O)=Cc3c(O2)cccc3)nn1)Cc4ccccc4N(=O)=O
85,CMR_GOLD_086,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=C(O)C(OC)=C4,2.61,3,FM2,2.94,-3.85,-0.33000000000000007,0.33000000000000007,O=C(OCc1cn(C(C2=O)=Cc3c(O2)cccc3)nn1)c4ccc(O)c(OC)c4
86,CMR_GOLD_087,O=C1OC2=C(C=C1N3C=C(N=N3)COC(/C=C/C4=CC=C(C(OC)=C4)O)=O)C=CC=C2,2.64,3,FM2,3.47,-4.57,-0.8300000000000001,0.8300000000000001,O=C1Oc2c(C=C1n3cc(nn3)COC(C=Cc4ccc(c(OC)c4)O)=O)cccc2
87,CMR_GOLD_088,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC(OC)=C(OC)C(OC)=C3,1.498,1,FM1,2.72,-4.46,-1.2220000000000002,1.2220000000000002,O=C1C(C(c2c(cccc2)O1)=O)=C(C)NCc3cc(OC)c(OC)c(OC)c3
88,CMR_GOLD_089,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C(OC)=C3,1.503,1,FM2,2.99,-4.42,-1.4870000000000003,1.4870000000000003,O=C1C(C(c2c(cccc2)O1)=O)=C(C)NCc3ccc(OC)c(OC)c3
89,CMR_GOLD_090,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C=C3OC,2.152,1,FM2,2.98,-4.42,-0.8279999999999998,0.8279999999999998,O=C1C(C(c2c(cccc2)O1)=O)=C(C)NCc3ccc(OC)cc3OC
90,CMR_GOLD_091,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC(OC)=C(OC)C(OC)=C4,1.718,1,FM2,3.96,-5.54,-2.242,2.242,O=C1C(C(c2c(cccc2)O1)=O)=C(c3ccccc3)NCc4cc(OC)c(OC)c(OC)c4
91,CMR_GOLD_092,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC=C(OC)C(OC)=C4,1.779,1,FM2,4.17,-5.68,-2.391,2.391,O=C1C(C(c2c(cccc2)O1)=O)=C(c3ccccc3)NCc4ccc(OC)c(OC)c4
92,CMR_GOLD_093,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=C(OC)C=C(OC)C=C4,2.288,1,FM2,4.16,-5.64,-1.8720000000000003,1.8720000000000003,O=C1C(C(c2c(cccc2)O1)=O)=C(c3ccccc3)NCc4c(OC)cc(OC)cc4
93,CMR_GOLD_094,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC(OC)=C(OC)C(OC)=C3,1.295,1,FM1,2.28,-4.56,-0.9849999999999999,0.9849999999999999,O=C1C(C(c2c(cccc2)O1)=O)=CNCc3cc(OC)c(OC)c(OC)c3
94,CMR_GOLD_095,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC(OC)=C(OC)C=C3,2.454,1,FM2,2.51,-4.6,-0.055999999999999606,0.055999999999999606,O=C1C(C(c2c(cccc2)O1)=O)=CNCc3cc(OC)c(OC)cc3
95,CMR_GOLD_096,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC=C(OC)C=C3OC,1.443,1,FM1,2.49,-4.53,-1.0470000000000002,1.0470000000000002,O=C1C(C(c2c(cccc2)O1)=O)=CNCc3ccc(OC)cc3OC
