Compound_ID,SMILES,logP_exp,N_count,FM,OPERA_logP,OPERA_logP_predRange,OPERA_AD_LogP,OPERA_AD_index_LogP,OPERA_Conf_index_LogP,delta_OPERA_logP,abs_delta_OPERA_logP
CMR_GOLD_025,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,3.336,3,FM2,1.89,[0.23:3.55],1,0.443,0.35,1.446,1.446
CMR_GOLD_026,CCC(C1=C(C2=C(C=CC=C2)OC1=O)O)C3=CC=CC=C3,3.04,0,FM4,4.33,[3.63:5.03],1,0.586,0.618,-1.29,1.29
CMR_GOLD_027,O=C1OC2=C(C=CC(OCC(O)CN3C=NC=N3)=C2)C(C)=C1,0.45,3,FM1,1.95,[1.74:2.16],1,0.561,0.685,-1.5,1.5
CMR_GOLD_028,O=C1OC2=C(C=CC(OCC(O)CN3N=NC4=C3C=CC=C4)=C2)C(C)=C1,0.6,3,FM1,1.98,[0.79:3.17],1,0.566,0.466,-1.38,1.38
CMR_GOLD_029,O=C1OC2=C(C=CC(OCC(O)CN3C=NC4=C3C=CC=C4)=C2)C(C)=C1,0.55,2,FM1,3.68,[2.82:4.54],1,0.546,0.496,-3.13,3.13
CMR_GOLD_030,O=C1OC2=C(C=CC(OCC(O)CN3C=NC4=C3C=C(C)C(C)=C4)=C2)C(C)=C1,0.61,2,FM1,3.73,[2.89:4.57],1,0.573,0.497,-3.12,3.12
CMR_GOLD_031,O=C1OC2=C(C=CC(OCC(O)CSC3=NC4=CC=CC=C4N3)=C2)C(C)=C1,0.49,2,FM1,2.08,[1.03:3.13],1,0.558,0.486,-1.59,1.59
CMR_GOLD_032,OC(COC1=CC(OCC(CN2C=NC=N2)O)=CC3=C1C(C)=CC(O3)=O)CN4C=NC=N4,0.65,6,FM3,1.51,[0.91:2.11],1,0.471,0.629,-0.86,0.86
CMR_GOLD_033,O=C1OC2=C(C(OCC(O)CN3N=NC4=C3C=CC=C4)=CC(OCC(O)CN5N=NC6=C5C=CC=C6)=C2)C(C)=C1,0.48,6,FM3,2.24,[0.38:4.1],1,0.385,0.298,-1.7600000000000002,1.7600000000000002
CMR_GOLD_034,OC(COC1=CC(OCC(CN2C=NC3=C2C=CC=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=CC=C6,0.49,4,FM3,3.34,[1.96:4.72],1,0.394,0.381,-2.8499999999999996,2.8499999999999996
CMR_GOLD_035,OC(COC1=CC(OCC(CN2C=NC3=C2C=C(C)C(C)=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=C(C)C(C)=C6,0.61,4,FM3,3.63,[1.96:5.26],1,0.398,0.329,-3.02,3.02
CMR_GOLD_036,OC(COC1=CC(OCC(CSC2=NC3=CC=CC=C3N2)O)=CC4=C1C(C)=CC(O4)=O)CSC5=NC6=CC=CC=C6N5,0.58,4,FM3,2.63,[0.46:4.8],1,0.401,0.235,-2.05,2.05
CMR_GOLD_037,O=C1OC2=CC=CC=C2C(/C(NC3=CC=CC=C3)=N\O)=C1Cl,2.58,2,FM2,2.07,[-0.08:4.01],1,0.612,0.341,0.5100000000000002,0.5100000000000002
CMR_GOLD_038,O=C1OC2=CC=CC=C2C(/C(NC3=CC=C(C)C=C3)=N\O)=C1Cl,2.89,2,FM2,2.59,[0.84:4.01],1,0.585,0.399,0.30000000000000027,0.30000000000000027
CMR_GOLD_039,O=C1OC2=CC=CC=C2C(/C(NC3CCCCC3)=N\O)=C1Cl,2.78,2,FM2,1.88,[-0.09:3.85],1,0.537,0.296,0.8999999999999999,0.8999999999999999
CMR_GOLD_040,O=C1OC2=CC=CC=C2C(/C(CCO)=N\O)=C1Cl,0.22,1,FM1,2.06,[1.61:2.51],1,0.596,0.697,-1.84,1.84
