Predictor,Predictor_group,Prediction_column,n,Bias,MAE,RMSE,R2,Overestimated_percent,Underestimated_percent,Severe_abs_error_percent,Severe_overestimation_percent,Severe_underestimation_percent
SwissADME_Consensus,Primary SwissADME-associated reference,Consensus,95,-0.8791852631578948,1.1636063157894738,1.5109614017153727,-0.7673698498076478,77.89473684210526,22.105263157894736,16.842105263157894,15.789473684210526,1.0526315789473684
RDKit_MolLogP,External comparator,RDKit_MolLogP,95,-1.4008451578947392,1.6064152631578967,2.0719620362334443,-2.323412806065715,82.10526315789474,17.894736842105264,41.05263157894737,41.05263157894737,0.0
DataWarrior_cLogP,External comparator,DataWarrior_cLogP,95,-0.7307452631578948,1.201505263157895,1.5450288721540042,-0.8479656769915627,65.26315789473685,34.73684210526316,20.0,17.894736842105264,2.1052631578947367
ALOGPS_2_1_logP,External comparator,ALOGPS_2_1_logP,95,-1.1158168421052632,1.3389747368421052,1.7285724257773798,-1.3131077474175448,84.21052631578947,11.578947368421053,34.73684210526316,32.631578947368425,2.1052631578947367
OPERA_logP,External comparator,OPERA_logP,95,0.01818315789473684,1.2361115789473685,1.722352778705858,-1.296491919348365,43.15789473684211,54.736842105263165,13.684210526315791,8.421052631578947,5.263157894736842
