Compound_ID,SMILES,logP_exp,N_count,N_group,FM,Data_Tier,Consensus,delta_Consensus,logP_range,logP_15,Coumarin_Type,RDKit_MolLogP,delta_RDKit_MolLogP,abs_delta_RDKit_MolLogP,RDKit_status,DataWarrior_cLogP,delta_DataWarrior_cLogP,abs_delta_DataWarrior_cLogP,ALOGPS_2_1_logP,ALOGPS_logS,delta_ALOGPS_2_1_logP,abs_delta_ALOGPS_2_1_logP,OPERA_logP,OPERA_logP_predRange,OPERA_AD_LogP,OPERA_AD_index_LogP,OPERA_Conf_index_LogP,delta_OPERA_logP,abs_delta_OPERA_logP,delta_SwissADME_Consensus,abs_delta_SwissADME_Consensus,flag_polar_logP_le_1,flag_N_1_3_logP_lt_1_5,flag_severe_consensus_abs_error,flag_FM4_exploratory_boundary
CMR_GOLD_045,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=CC=C4)=N3)=C1,3.22,2,N=2-3,FM2,STRICT-GOLD,3.26,-0.0399999999999995,logP>3,logP>3.0,oxadiazole,3.5100000000000025,-0.29000000000000226,0.29000000000000226,OK,2.8146,0.4054000000000002,0.4054000000000002,3.76,-3.48,-0.5399999999999996,0.5399999999999996,2.56,[1.5:3.55],1,0.544,0.523,0.6600000000000001,0.6600000000000001,-0.03999999999999959,0.03999999999999959,False,False,False,False
CMR_GOLD_046,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=C(OC)C=C4)=N3)=C1,2.98,2,N=2-3,FM2,STRICT-GOLD,3.27,-0.29,logP 2-3,logP 1.5-3.0,oxadiazole,3.518600000000003,-0.5386000000000029,0.5386000000000029,OK,2.7446,0.23539999999999983,0.23539999999999983,2.91,-3.5,0.06999999999999984,0.06999999999999984,2.4,[1.73:3.09],1,0.519,0.611,0.5800000000000001,0.5800000000000001,-0.29000000000000004,0.29000000000000004,False,False,False,False
CMR_GOLD_047,O=C1OC2=CC=CC=C2C(C3=NOCN3)=C1,1.98,2,N=2-3,FM2,STRICT-GOLD,1.45,0.53,logP 1-2,logP 1.5-3.0,"oxadiazoline (4,5-dihydro-1,2,4-oxadiazole)",1.0318999999999998,0.9481000000000002,0.9481000000000002,OK,1.2944,0.6856,0.6856,0.93,-2.55,1.0499999999999998,1.0499999999999998,0.78,[-0.09:1.65],1,0.559,0.568,1.2,1.2,0.53,0.53,False,False,False,False
CMR_GOLD_048,O=C1OC2=CC=CC=C2C(C3=NOC(C)N3)=C1,1.93,2,N=2-3,FM2,STRICT-GOLD,1.75,0.1799999999999999,logP 1-2,logP 1.5-3.0,oxadiazoline,1.4204,0.5095999999999998,0.5095999999999998,OK,1.6461,0.28390000000000004,0.28390000000000004,1.39,-2.65,0.54,0.54,0.71,[-0.55:1.72],1,0.603,0.467,1.22,1.22,0.17999999999999994,0.17999999999999994,False,False,False,False
CMR_GOLD_049,O=C1OC2=CC=CC=C2C(C3=NOCN3C4=CC=CC=C4)=C1,2.45,2,N=2-3,FM2,STRICT-GOLD,2.88,-0.4299999999999997,logP 2-3,logP 1.5-3.0,oxadiazoline,2.948900000000001,-0.4989000000000008,0.4989000000000008,OK,3.0425,-0.5924999999999998,0.5924999999999998,2.65,-3.16,-0.19999999999999973,0.19999999999999973,2.22,[1.08:3.36],1,0.552,0.495,0.22999999999999998,0.22999999999999998,-0.4299999999999997,0.4299999999999997,False,False,False,False
CMR_GOLD_050,O=C1OC2=CC=CC=C2C(C3=NOC(C)N3C4=CC=CC=C4)=C1,2.7,2,N=2-3,FM2,STRICT-GOLD,3.15,-0.4499999999999997,logP 2-3,logP 1.5-3.0,oxadiazoline,3.337400000000001,-0.6374000000000009,0.6374000000000009,OK,3.3942,-0.6941999999999999,0.6941999999999999,3.16,-3.44,-0.45999999999999996,0.45999999999999996,2.93,[1.99:3.87],1,0.568,0.563,-0.22999999999999998,0.22999999999999998,-0.44999999999999973,0.44999999999999973,False,False,False,False
CMR_GOLD_051,O=C1OC2=CC=CC=C2C(C3=NOC(N3C4=CC=CC=C4)=S)=C1,3.03,2,N=2-3,FM2,STRICT-GOLD,3.48,-0.4500000000000002,logP>3,logP>3.0,thioxo-oxadiazoline,3.9681900000000017,-0.9381900000000019,0.9381900000000019,OK,3.2839,-0.25390000000000024,0.25390000000000024,3.36,-4.48,-0.33000000000000007,0.33000000000000007,2.74,[1.38:4.1],1,0.491,0.459,0.2899999999999996,0.2899999999999996,-0.4500000000000002,0.4500000000000002,False,False,False,False
CMR_GOLD_052,O=C1OC2=CC=CC=C2C(C3=NOS(N3C4=CC=CC=C4)=O)=C1,2.16,2,N=2-3,FM2,STRICT-GOLD,2.57,-0.4099999999999997,logP 2-3,logP 1.5-3.0,oxathiadiazole sulfoxide,2.5701,-0.4100999999999999,0.4100999999999999,OK,3.009,-0.8489999999999998,0.8489999999999998,2.85,-2.22,-0.69,0.69,3.02,[0.83:5.2],1,0.424,0.241,-0.8599999999999999,0.8599999999999999,-0.4099999999999997,0.4099999999999997,False,False,False,False
CMR_GOLD_053,O=C1OC2=CC=CC=C2C(C3=NC(C4=CC=C(OC)C=C4)=NO3)=C1,3.07,2,N=2-3,FM2,STRICT-GOLD,3.17,-0.1,logP>3,logP>3.0,oxadiazole,3.518600000000002,-0.4486000000000021,0.4486000000000021,OK,2.7446,0.3253999999999997,0.3253999999999997,2.83,-3.5,0.23999999999999977,0.23999999999999977,2.49,[1.75:3.23],1,0.503,0.6,0.5799999999999996,0.5799999999999996,-0.10000000000000009,0.10000000000000009,False,False,False,False
CMR_GOLD_054,O=C1OC2=CC=CC=C2C(C3ON=C(C4=CC=C(OC)C=C4)O3)=C1,3.04,1,N=1,FM2,STRICT-GOLD,3.14,-0.1,logP>3,logP>3.0,dioxazole,3.208800000000001,-0.16880000000000095,0.16880000000000095,OK,3.1381,-0.09810000000000008,0.09810000000000008,3.38,-4.2,-0.33999999999999986,0.33999999999999986,2.92,[2.14:3.7],1,0.581,0.646,0.1200000000000001,0.1200000000000001,-0.10000000000000009,0.10000000000000009,False,False,False,False
CMR_GOLD_055,O=C1OC2=C(C=CC=C2)C=C1,1.39,0,N=0,FM0,STRICT-GOLD,1.82,-0.4300000000000001,logP 1-2,logP<1.5,Parent core (unsubstituted),1.793,-0.403,0.403,OK,1.4974,-0.10740000000000016,0.10740000000000016,1.72,-2.16,-0.33000000000000007,0.33000000000000007,1.39,[1.36:1.42],1,0.998,0.886,0.0,0.0,-0.43000000000000016,0.43000000000000016,False,False,False,False
CMR_GOLD_056,O=C1OC2=C(C=CC=C2)C=C1/N=C(C(C=CC=C3)=C3N4)/C4=N/CC(O)=O,0.42,3,N=2-3,FM1,GOLD,1.82,-1.4,logP<1,logP<1.5,3-imino-coumarin derivative,2.8224,-2.4024,2.4024,OK,0.9543,-0.5343,0.5343,2.59,-3.83,-2.17,2.17,1.46,[-0.01:2.93],1,0.523,0.428,-1.04,1.04,-1.4000000000000001,1.4000000000000001,True,True,False,False
CMR_GOLD_057,O=C1C(/C=C/C(C2=CC=C(C3=CC=C(N(C)C)C=C3)S2)=O)=CC4=C(C=C(N(C)C)C=C4)O1,1.365,2,N=2-3,FM1,STRICT-GOLD,4.88,-3.515,logP 1-2,logP<1.5,7-amino-substituted D-π-A coumarin,5.549600000000005,-4.184600000000005,4.184600000000005,OK,4.7055,-3.3404999999999996,3.3404999999999996,5.49,-5.81,-4.125,4.125,5.01,[4.28:5.74],1,0.459,0.529,-3.6449999999999996,3.6449999999999996,-3.5149999999999997,3.5149999999999997,False,True,True,False
CMR_GOLD_058,O=C1C(/C=C/C(C2=CC=C(C3=CC=C(N(CC)CC)C=C3)S2)=O)=CC4=C(C=C(N(CC)CC)C=C4)O1,0.9664,2,N=2-3,FM1,STRICT-GOLD,6.16,-5.1936,logP<1,logP<1.5,7-amino-substituted D-π-A coumarin,7.110000000000007,-6.143600000000007,6.143600000000007,OK,6.3307,-5.3643,5.3643,6.84,-6.26,-5.8736,5.8736,5.96,[5.38:6.54],1,0.429,0.543,-4.9936,4.9936,-5.1936,5.1936,True,True,True,False
CMR_GOLD_059,O=C1C=CC2=C(C=C3C(C=CO3)=C2)O1,1.67,0,N=0,FM0,STRICT-GOLD,2.12,-0.4500000000000002,logP 1-2,logP 1.5-3.0,Furocoumarin,2.5392,-0.8692000000000002,0.8692000000000002,OK,1.949,-0.27900000000000014,0.27900000000000014,2.15,-3.14,-0.48,0.48,1.68,[1.67:1.74],1,0.998,0.866,-0.010000000000000009,0.010000000000000009,-0.4500000000000002,0.4500000000000002,False,False,False,False
CMR_GOLD_060,O=C1C=CC2=C(C(OC)=C3C(C=CO3)=C2)O1,1.93,0,N=0,FM0,STRICT-GOLD,2.16,-0.2300000000000002,logP 1-2,logP 1.5-3.0,Furocoumarin,2.5478000000000005,-0.6178000000000006,0.6178000000000006,OK,1.879,0.050999999999999934,0.050999999999999934,2.1,-3.12,-0.17000000000000015,0.17000000000000015,2.27,[1.93:2.63],1,0.558,0.678,-0.3400000000000001,0.3400000000000001,-0.2300000000000002,0.2300000000000002,False,False,False,False
CMR_GOLD_061,O=C1C=CC2=C(C=C3C(C=CO3)=C2OC)O1,2.0,0,N=0,FM0,STRICT-GOLD,2.16,-0.1600000000000001,logP 1-2,logP 1.5-3.0,Furocoumarin,2.5478000000000005,-0.5478000000000005,0.5478000000000005,OK,1.879,0.121,0.121,2.12,-3.16,-0.1200000000000001,0.1200000000000001,1.93,[1.93:2],1,0.998,0.832,0.07000000000000006,0.07000000000000006,-0.16000000000000014,0.16000000000000014,False,False,False,False
CMR_GOLD_062,O=C1C=C(C)C2=C(C(C)=C3C(C=C(C)O3)=C2)O1,3.14,0,N=0,FM4,STRICT-GOLD,3.19,-0.0499999999999998,logP>3,logP>3.0,Furocoumarin,3.4644600000000016,-0.3244600000000015,0.3244600000000015,OK,2.769,0.371,0.371,3.26,-3.56,-0.11999999999999966,0.11999999999999966,3.14,[3.14:3.16],1,0.998,0.963,0.0,0.0,-0.04999999999999982,0.04999999999999982,False,False,False,True
CMR_GOLD_063,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=CC=C5,1.412,4,N≥4,FM3,EXTENDED,2.34,-0.928,logP 1-2,logP<1.5,triazolo_thiadiazinyl_coumarin,3.896200000000002,-2.484200000000002,2.484200000000002,OK,3.2513,-1.8393000000000002,1.8393000000000002,2.95,-3.92,-1.5380000000000003,1.5380000000000003,3.07,[2.6:3.54],1,0.444,0.58,-1.658,1.658,-0.9279999999999999,0.9279999999999999,False,False,False,False
CMR_GOLD_064,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC(Br)=CC=C5,1.63,4,N≥4,FM3,EXTENDED,3.09,-1.46,logP 1-2,logP 1.5-3.0,triazolo_thiadiazinyl_coumarin,4.658700000000002,-3.0287000000000024,3.0287000000000024,OK,3.9765,-2.3465000000000003,2.3465000000000003,3.66,-4.29,-2.0300000000000002,2.0300000000000002,2.63,[1.14:4.12],1,0.422,0.352,-1.0,1.0,-1.46,1.46,False,False,False,False
CMR_GOLD_065,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Br)C=C5,1.58,4,N≥4,FM3,EXTENDED,3.05,-1.4699999999999998,logP 1-2,logP 1.5-3.0,triazolo_thiadiazinyl_coumarin,4.658700000000002,-3.078700000000002,3.078700000000002,OK,3.9765,-2.3965,2.3965,3.65,-4.29,-2.07,2.07,2.62,[1.13:4.11],1,0.423,0.352,-1.04,1.04,-1.4699999999999998,1.4699999999999998,False,False,False,False
CMR_GOLD_066,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=C(O)C=CC=C5,0.826,4,N≥4,FM3,EXTENDED,2.05,-1.2239999999999998,logP<1,logP<1.5,triazolo_thiadiazinyl_coumarin,3.6018000000000017,-2.7758000000000016,2.7758000000000016,OK,2.9056,-2.0796,2.0796,2.87,-3.64,-2.044,2.044,0.03,[-2.47:2.53],1,0.435,0.176,0.7959999999999999,0.7959999999999999,-1.2239999999999998,1.2239999999999998,True,False,False,False
CMR_GOLD_067,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(O)C=C5,0.645,4,N≥4,FM3,EXTENDED,2.0,-1.355,logP<1,logP<1.5,triazolo_thiadiazinyl_coumarin,3.6018000000000017,-2.9568000000000016,2.9568000000000016,OK,2.9056,-2.2606,2.2606,2.89,-3.62,-2.245,2.245,0.56,[-2.15:3.27],1,0.434,0.155,0.08499999999999996,0.08499999999999996,-1.355,1.355,True,False,False,False
CMR_GOLD_068,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Cl)C=C5,1.501,4,N≥4,FM3,EXTENDED,2.97,-1.4690000000000003,logP 1-2,logP 1.5-3.0,triazolo_thiadiazinyl_coumarin,4.5496000000000025,-3.0486000000000026,3.0486000000000026,OK,3.8573,-2.3563,2.3563,3.58,-4.22,-2.079,2.079,2.63,[1.15:4.11],1,0.441,0.36,-1.129,1.129,-1.4690000000000003,1.4690000000000003,False,False,False,False
CMR_GOLD_069,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(C)C=C5,1.806,4,N≥4,FM3,EXTENDED,2.7,-0.8940000000000001,logP 1-2,logP 1.5-3.0,triazolo_thiadiazinyl_coumarin,4.204620000000003,-2.398620000000003,2.398620000000003,OK,3.5952,-1.7892000000000001,1.7892000000000001,3.2,-4.12,-1.3940000000000001,1.3940000000000001,2.63,[1.22:3.87],1,0.447,0.405,-0.8239999999999998,0.8239999999999998,-0.8940000000000001,0.8940000000000001,False,False,False,False
CMR_GOLD_070,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=NC=C5,1.22,5,N≥4,FM3,EXTENDED,1.68,-0.4599999999999999,logP 1-2,logP<1.5,triazolo_thiadiazinyl_coumarin,3.2912000000000017,-2.071200000000002,2.071200000000002,OK,2.2504,-1.0304,1.0304,2.27,-3.46,-1.05,1.05,1.99,[-0.44:4.42],1,0.458,0.203,-0.77,0.77,-0.45999999999999996,0.45999999999999996,False,False,False,False
CMR_GOLD_071,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4COC5=CC=C(Cl)C=C5,1.421,4,N≥4,FM3,EXTENDED,2.93,-1.509,logP 1-2,logP<1.5,triazolo_thiadiazinyl_coumarin,4.255900000000002,-2.834900000000002,2.834900000000002,OK,4.069,-2.6479999999999997,2.6479999999999997,3.57,-4.21,-2.149,2.149,2.92,[1.36:4.14],1,0.459,0.356,-1.4989999999999999,1.4989999999999999,-1.5090000000000001,1.5090000000000001,False,False,False,False
CMR_GOLD_072,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4COC5=C(Cl)C=C(Cl)C=C5,1.471,4,N≥4,FM3,EXTENDED,3.4,-1.929,logP 1-2,logP<1.5,triazolo_thiadiazinyl_coumarin,4.909300000000003,-3.4383000000000026,3.4383000000000026,OK,4.675,-3.2039999999999997,3.2039999999999997,4.19,-4.55,-2.7190000000000003,2.7190000000000003,2.33,[0.65:4.01],1,0.427,0.326,-0.859,0.859,-1.9289999999999998,1.9289999999999998,False,False,False,False
CMR_GOLD_073,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC4=CC3=C(OCCO3)C=C4,2.07,1,N=1,FM2,GOLD,3.39,-1.3200000000000005,logP 2-3,logP 1.5-3.0,phosphonate_coumarin,4.628700000000003,-2.558700000000003,2.558700000000003,OK,3.2256,-1.1556000000000002,1.1556000000000002,3.72,-4.54,-1.6500000000000004,1.6500000000000004,0.22,[-2.2:2.64],1,0.396,0.176,1.8499999999999999,1.8499999999999999,-1.3200000000000003,1.3200000000000003,False,False,False,False
CMR_GOLD_074,COC1=CC=C(C=C1)CCNC(C)C2=C(C3=C(OC2=O)C=CC=C3)[P](OCC)(OCC)=O,2.43,1,N=1,FM2,GOLD,3.76,-1.3299999999999996,logP 2-3,logP 1.5-3.0,phosphonate_coumarin,4.586300000000004,-2.156300000000004,2.156300000000004,OK,3.3163,-0.8862999999999999,0.8862999999999999,3.81,-5.64,-1.38,1.38,1.88,[0.84:2.92],1,0.453,0.44,0.5500000000000003,0.5500000000000003,-1.3299999999999996,1.3299999999999996,False,False,False,False
CMR_GOLD_075,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC3=CC=CC4=C3C=CC=C4,2.65,1,N=1,FM2,GOLD,4.38,-1.73,logP 2-3,logP 1.5-3.0,phosphonate_coumarin,6.010700000000005,-3.3607000000000053,3.3607000000000053,OK,4.4412,-1.7912000000000003,1.7912000000000003,4.84,-5.97,-2.19,2.19,5.48,[4.71:6.2],1,0.436,0.567,-2.8300000000000005,2.8300000000000005,-1.73,1.73,False,False,False,False
CMR_GOLD_076,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NCC3=CC=C(F)C=C3,2.52,1,N=1,FM2,GOLD,3.81,-1.29,logP 2-3,logP 1.5-3.0,phosphonate_coumarin,4.674300000000004,-2.154300000000004,2.154300000000004,OK,3.057,-0.5369999999999999,0.5369999999999999,3.63,-5.76,-1.1099999999999999,1.1099999999999999,2.54,[1.03:4.05],1,0.432,0.351,-0.020000000000000018,0.020000000000000018,-1.29,1.29,False,False,False,False
CMR_GOLD_077,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC5=CC=C(C4=C(C(OCC)=O)C3=C(C=CC=C3)N=C4)C=C5,2.8,2,N=2-3,FM2,GOLD,5.36,-2.5600000000000005,logP 2-3,logP 1.5-3.0,phosphonate_coumarin,7.249400000000008,-4.449400000000008,4.449400000000008,OK,5.5413,-2.7413,2.7413,5.45,-6.32,-2.6500000000000004,2.6500000000000004,1.04,[-2.26:4.34],1,0.351,0.1,1.7599999999999998,1.7599999999999998,-2.5600000000000005,2.5600000000000005,False,False,True,False
CMR_GOLD_078,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,2.25,4,N≥4,FM3,GOLD,2.32,-0.0699999999999998,logP 2-3,logP 1.5-3.0,conjugated_coumarin,2.3037,-0.05370000000000008,0.05370000000000008,OK,1.9025,0.3474999999999999,0.3474999999999999,2.68,-4.0,-0.43000000000000016,0.43000000000000016,1.77,[0.79:2.66],1,0.516,0.505,0.48,0.48,-0.06999999999999984,0.06999999999999984,False,False,False,False
CMR_GOLD_079,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4O,2.02,4,N≥4,FM3,GOLD,1.97,0.05,logP 2-3,logP 1.5-3.0,conjugated_coumarin,2.0093,0.010699999999999932,0.010699999999999932,OK,1.5568,0.46320000000000006,0.46320000000000006,2.28,-3.55,-0.2599999999999998,0.2599999999999998,1.16,[-0.04:2.36],1,0.492,0.458,0.8600000000000001,0.8600000000000001,0.050000000000000044,0.050000000000000044,False,False,False,False
CMR_GOLD_080,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)CC4=CC=CC=C4[N+]([O-])=O,1.9,5,N≥4,FM3,GOLD,1.59,0.3099999999999998,logP 1-2,logP 1.5-3.0,conjugated_coumarin,2.1408000000000005,-0.24080000000000057,0.24080000000000057,OK,0.979,0.9209999999999999,0.9209999999999999,2.67,-4.31,-0.77,0.77,0.88,[-1.34:3.1],1,0.416,0.226,1.02,1.02,0.30999999999999983,0.30999999999999983,False,False,False,False
CMR_GOLD_081,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=C(O)C(OC)=C4,1.95,4,N≥4,FM3,GOLD,1.94,0.01,logP 1-2,logP 1.5-3.0,conjugated_coumarin,2.0179,-0.06790000000000007,0.06790000000000007,OK,1.4868,0.46320000000000006,0.46320000000000006,2.14,-3.69,-0.19000000000000017,0.19000000000000017,1.14,[-0.77:2.66],1,0.441,0.359,0.81,0.81,0.010000000000000009,0.010000000000000009,False,False,False,False
CMR_GOLD_082,OC(C(OC)=C1)=CC=C1/C=C/C(NCC(N=N2)=CN2C3=CC4=C(C=CC=C4)OC3=O)=O,2.65,4,N≥4,FM3,GOLD,2.27,0.3799999999999999,logP 2-3,logP 1.5-3.0,conjugated_coumarin,2.4175000000000004,0.23249999999999948,0.23249999999999948,OK,1.816,0.8339999999999999,0.8339999999999999,2.76,-4.52,-0.10999999999999988,0.10999999999999988,1.95,[1.05:2.66],1,0.435,0.503,0.7,0.7,0.3799999999999999,0.3799999999999999,False,False,False,False
CMR_GOLD_083,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,2.38,3,N=2-3,FM2,GOLD,2.72,-0.3400000000000003,logP 2-3,logP 1.5-3.0,conjugated_coumarin,2.730700000000001,-0.3507000000000011,0.3507000000000011,OK,2.3767,0.0032999999999998586,0.0032999999999998586,3.13,-4.2,-0.75,0.75,2.95,[2.06:3.84],1,0.519,0.537,-0.5700000000000003,0.5700000000000003,-0.3400000000000003,0.3400000000000003,False,False,False,False
CMR_GOLD_084,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4O,2.65,3,N=2-3,FM2,GOLD,2.41,0.2399999999999997,logP 2-3,logP 1.5-3.0,conjugated_coumarin,2.436300000000001,0.2136999999999989,0.2136999999999989,OK,2.031,0.6189999999999998,0.6189999999999998,3.11,-3.61,-0.45999999999999996,0.45999999999999996,2.22,[1.9:2.54],1,0.525,0.651,0.4299999999999997,0.4299999999999997,0.23999999999999977,0.23999999999999977,False,False,False,False
CMR_GOLD_085,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)CC4=CC=CC=C4[N+]([O-])=O,2.41,4,N≥4,FM3,GOLD,1.98,0.4300000000000001,logP 2-3,logP 1.5-3.0,conjugated_coumarin,2.5678,-0.15779999999999994,0.15779999999999994,OK,1.4532,0.9568000000000001,0.9568000000000001,3.02,-4.37,-0.6099999999999999,0.6099999999999999,1.65,[0.16:3.14],1,0.471,0.401,0.7600000000000002,0.7600000000000002,0.43000000000000016,0.43000000000000016,False,False,False,False
CMR_GOLD_086,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=C(O)C(OC)=C4,2.61,3,N=2-3,FM2,GOLD,2.36,0.25,logP 2-3,logP 1.5-3.0,conjugated_coumarin,2.4449000000000005,0.16509999999999936,0.16509999999999936,OK,1.961,0.6489999999999998,0.6489999999999998,2.94,-3.85,-0.33000000000000007,0.33000000000000007,2.73,[2.01:3.6],1,0.487,0.507,-0.1200000000000001,0.1200000000000001,0.25,0.25,False,False,False,False
CMR_GOLD_087,O=C1OC2=C(C=C1N3C=C(N=N3)COC(/C=C/C4=CC=C(C(OC)=C4)O)=O)C=CC=C2,2.64,3,N=2-3,FM2,GOLD,2.7,-0.06,logP 2-3,logP 1.5-3.0,conjugated_coumarin,2.844500000000001,-0.2045000000000008,0.2045000000000008,OK,2.2902,0.3498000000000001,0.3498000000000001,3.47,-4.57,-0.8300000000000001,0.8300000000000001,2.25,[1.97:2.53],1,0.461,0.61,0.3900000000000001,0.3900000000000001,-0.06000000000000005,0.06000000000000005,False,False,False,False
CMR_GOLD_088,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC(OC)=C(OC)C(OC)=C3,1.498,1,N=1,FM1,EXTENDED,3.0,-1.502,logP 1-2,logP<1.5,conjugated_coumarin,2.877900000000001,-1.3799000000000008,1.3799000000000008,OK,2.7363,-1.2383,1.2383,2.72,-4.46,-1.2220000000000002,1.2220000000000002,1.76,[1.2:2.32],1,0.506,0.662,-0.262,0.262,-1.502,1.502,False,True,False,False
CMR_GOLD_089,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C(OC)=C3,1.503,1,N=1,FM2,EXTENDED,3.0,-1.497,logP 1-2,logP 1.5-3.0,conjugated_coumarin,2.869300000000001,-1.366300000000001,1.366300000000001,OK,2.8063,-1.3033,1.3033,2.99,-4.42,-1.4870000000000003,1.4870000000000003,2.42,[1.77:3.07],1,0.528,0.642,-0.917,0.917,-1.497,1.497,False,False,False,False
CMR_GOLD_090,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C=C3OC,2.152,1,N=1,FM2,EXTENDED,3.0,-0.8479999999999999,logP 2-3,logP 1.5-3.0,conjugated_coumarin,2.869300000000001,-0.7173000000000007,0.7173000000000007,OK,2.8063,-0.6542999999999997,0.6542999999999997,2.98,-4.42,-0.8279999999999998,0.8279999999999998,3.0,[1.89:3.94],1,0.549,0.579,-0.8479999999999999,0.8479999999999999,-0.8479999999999999,0.8479999999999999,False,False,False,False
CMR_GOLD_091,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC(OC)=C(OC)C(OC)=C4,1.718,1,N=1,FM2,EXTENDED,3.92,-2.202,logP 1-2,logP 1.5-3.0,conjugated_coumarin,4.015200000000003,-2.297200000000003,2.297200000000003,OK,3.3143,-1.5962999999999998,1.5962999999999998,3.96,-5.54,-2.242,2.242,3.25,[2.64:3.75],1,0.415,0.618,-1.532,1.532,-2.202,2.202,False,False,True,False
CMR_GOLD_092,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC=C(OC)C(OC)=C4,1.779,1,N=1,FM2,EXTENDED,3.93,-2.151,logP 1-2,logP 1.5-3.0,conjugated_coumarin,4.006600000000002,-2.2276000000000025,2.2276000000000025,OK,3.3843,-1.6053000000000002,1.6053000000000002,4.17,-5.68,-2.391,2.391,3.36,[2.71:4.01],1,0.43,0.527,-1.581,1.581,-2.1510000000000002,2.1510000000000002,False,False,True,False
CMR_GOLD_093,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=C(OC)C=C(OC)C=C4,2.288,1,N=1,FM2,EXTENDED,3.97,-1.6820000000000004,logP 2-3,logP 1.5-3.0,conjugated_coumarin,4.006600000000002,-1.7186000000000026,1.7186000000000026,OK,3.3843,-1.0963000000000003,1.0963000000000003,4.16,-5.64,-1.8720000000000003,1.8720000000000003,3.95,[2.92:4.98],1,0.457,0.464,-1.6620000000000004,1.6620000000000004,-1.6820000000000004,1.6820000000000004,False,False,False,False
CMR_GOLD_094,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC(OC)=C(OC)C(OC)=C3,1.295,1,N=1,FM1,EXTENDED,2.71,-1.415,logP 1-2,logP<1.5,conjugated_coumarin,2.487800000000001,-1.192800000000001,1.192800000000001,OK,1.5277,-0.23270000000000013,0.23270000000000013,2.28,-4.56,-0.9849999999999999,0.9849999999999999,1.92,[1.48:2.36],1,0.488,0.651,-0.625,0.625,-1.415,1.415,False,True,False,False
CMR_GOLD_095,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC(OC)=C(OC)C=C3,2.454,1,N=1,FM2,EXTENDED,2.74,-0.286,logP 2-3,logP 1.5-3.0,conjugated_coumarin,2.4792000000000005,-0.025200000000000333,0.025200000000000333,OK,1.5977,0.8563000000000003,0.8563000000000003,2.51,-4.6,-0.055999999999999606,0.055999999999999606,1.99,[1.49:2.49],1,0.531,0.607,0.4640000000000002,0.4640000000000002,-0.28600000000000003,0.28600000000000003,False,False,False,False
