Compound_ID,SMILES,logP_exp,N_count,FM,DataWarrior_cLogP,delta_DataWarrior_cLogP,abs_delta_DataWarrior_cLogP
CMR_GOLD_017,COCC(C1=C(C2=CC=CC=C2OC1=O)O)C3=C(C4=CC=CC=C4OC3=O)O,4.55,0,FM4,2.3075,2.2424999999999997,2.2424999999999997
CMR_GOLD_018,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,3.304,3,FM2,4.0605,-0.7565000000000004,0.7565000000000004
CMR_GOLD_019,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,3.112,3,FM2,4.7857,-1.6737000000000002,1.6737000000000002
CMR_GOLD_020,O=C1OC2=C(C3=C(C=CC=C3)C=C2)C=C1C4=CSC(N5C=C(C=O)C(C6=CC=CC=C6)=N5)=N4,3.537,3,FM2,4.5297,-0.9927000000000001,0.9927000000000001
CMR_GOLD_021,O=C1OC2=C(C=C(Cl)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.059,3,FM2,4.5473,-1.4882999999999997,1.4882999999999997
CMR_GOLD_022,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.002,3,FM2,5.1533,-2.1513,2.1513
CMR_GOLD_023,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.067,3,FM2,4.6665,-1.5995,1.5995
CMR_GOLD_024,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,3.602,3,FM2,4.8912,-1.2892000000000006,1.2892000000000006
CMR_GOLD_025,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,3.336,3,FM2,5.1296,-1.7936,1.7936
CMR_GOLD_026,CCC(C1=C(C2=C(C=CC=C2)OC1=O)O)C3=CC=CC=C3,3.04,0,FM4,3.8792,-0.8392,0.8392
CMR_GOLD_027,O=C1OC2=C(C=CC(OCC(O)CN3C=NC=N3)=C2)C(C)=C1,0.45,3,FM1,0.2215,0.2285,0.2285
CMR_GOLD_028,O=C1OC2=C(C=CC(OCC(O)CN3N=NC4=C3C=CC=C4)=C2)C(C)=C1,0.6,3,FM1,1.4302,-0.8301999999999999,0.8301999999999999
CMR_GOLD_029,O=C1OC2=C(C=CC(OCC(O)CN3C=NC4=C3C=CC=C4)=C2)C(C)=C1,0.55,2,FM1,2.0153,-1.4652999999999998,1.4652999999999998
CMR_GOLD_030,O=C1OC2=C(C=CC(OCC(O)CN3C=NC4=C3C=C(C)C(C)=C4)=C2)C(C)=C1,0.61,2,FM1,2.7031,-2.0931,2.0931
CMR_GOLD_031,O=C1OC2=C(C=CC(OCC(O)CSC3=NC4=CC=CC=C4N3)=C2)C(C)=C1,0.49,2,FM1,2.8428,-2.3528000000000002,2.3528000000000002
CMR_GOLD_032,OC(COC1=CC(OCC(CN2C=NC=N2)O)=CC3=C1C(C)=CC(O3)=O)CN4C=NC=N4,0.65,6,FM3,-1.1326,1.7826,1.7826
CMR_GOLD_033,O=C1OC2=C(C(OCC(O)CN3N=NC4=C3C=CC=C4)=CC(OCC(O)CN5N=NC6=C5C=CC=C6)=C2)C(C)=C1,0.48,6,FM3,1.2848,-0.8048,0.8048
CMR_GOLD_034,OC(COC1=CC(OCC(CN2C=NC3=C2C=CC=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=CC=C6,0.49,4,FM3,2.455,-1.965,1.965
CMR_GOLD_035,OC(COC1=CC(OCC(CN2C=NC3=C2C=C(C)C(C)=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=C(C)C(C)=C6,0.61,4,FM3,3.8306,-3.2206,3.2206
CMR_GOLD_036,OC(COC1=CC(OCC(CSC2=NC3=CC=CC=C3N2)O)=CC4=C1C(C)=CC(O4)=O)CSC5=NC6=CC=CC=C6N5,0.58,4,FM3,4.11,-3.5300000000000002,3.5300000000000002
CMR_GOLD_037,O=C1OC2=CC=CC=C2C(/C(NC3=CC=CC=C3)=N\O)=C1Cl,2.58,2,FM2,3.0024,-0.4224000000000001,0.4224000000000001
CMR_GOLD_038,O=C1OC2=CC=CC=C2C(/C(NC3=CC=C(C)C=C3)=N\O)=C1Cl,2.89,2,FM2,3.3463,-0.4562999999999997,0.4562999999999997
CMR_GOLD_039,O=C1OC2=CC=CC=C2C(/C(NC3CCCCC3)=N\O)=C1Cl,2.78,2,FM2,2.8494,-0.06940000000000035,0.06940000000000035
CMR_GOLD_040,O=C1OC2=CC=CC=C2C(/C(CCO)=N\O)=C1Cl,0.22,1,FM1,1.5454,-1.3254000000000001,1.3254000000000001
CMR_GOLD_041,O=C1OC2=CC=CC=C2C(/C(N)=N\OC(C)=O)=C1,1.0,2,FM1,0.7829,0.21709999999999996,0.21709999999999996
CMR_GOLD_042,O=C1OC2=CC=CC=C2C(/C=N\NC3=CC=CC=C3)=C1,3.63,2,FM2,3.6846,-0.054600000000000204,0.054600000000000204
CMR_GOLD_043,O=C1OC2=CC=CC=C2C(C3=NOC=N3)=C1,1.95,2,FM2,1.1716,0.7784,0.7784
CMR_GOLD_044,O=C1OC2=CC=CC=C2C(C3=NOC(C)=N3)=C1,2.12,2,FM2,1.405,0.7150000000000001,0.7150000000000001
CMR_GOLD_045,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=CC=C4)=N3)=C1,3.22,2,FM2,2.8146,0.4054000000000002,0.4054000000000002
CMR_GOLD_046,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=C(OC)C=C4)=N3)=C1,2.98,2,FM2,2.7446,0.23539999999999983,0.23539999999999983
CMR_GOLD_047,O=C1OC2=CC=CC=C2C(C3=NOCN3)=C1,1.98,2,FM2,1.2944,0.6856,0.6856
CMR_GOLD_048,O=C1OC2=CC=CC=C2C(C3=NOC(C)N3)=C1,1.93,2,FM2,1.6461,0.28390000000000004,0.28390000000000004
CMR_GOLD_049,O=C1OC2=CC=CC=C2C(C3=NOCN3C4=CC=CC=C4)=C1,2.45,2,FM2,3.0425,-0.5924999999999998,0.5924999999999998
CMR_GOLD_050,O=C1OC2=CC=CC=C2C(C3=NOC(C)N3C4=CC=CC=C4)=C1,2.7,2,FM2,3.3942,-0.6941999999999999,0.6941999999999999
CMR_GOLD_051,O=C1OC2=CC=CC=C2C(C3=NOC(N3C4=CC=CC=C4)=S)=C1,3.03,2,FM2,3.2839,-0.25390000000000024,0.25390000000000024
CMR_GOLD_052,O=C1OC2=CC=CC=C2C(C3=NOS(N3C4=CC=CC=C4)=O)=C1,2.16,2,FM2,3.009,-0.8489999999999998,0.8489999999999998
CMR_GOLD_053,O=C1OC2=CC=CC=C2C(C3=NC(C4=CC=C(OC)C=C4)=NO3)=C1,3.07,2,FM2,2.7446,0.3253999999999997,0.3253999999999997
CMR_GOLD_054,O=C1OC2=CC=CC=C2C(C3ON=C(C4=CC=C(OC)C=C4)O3)=C1,3.04,1,FM2,3.1381,-0.09810000000000008,0.09810000000000008
CMR_GOLD_055,O=C1OC2=C(C=CC=C2)C=C1,1.39,0,FM0,1.4974,-0.10740000000000016,0.10740000000000016
CMR_GOLD_056,O=C1OC2=C(C=CC=C2)C=C1/N=C(C(C=CC=C3)=C3N4)/C4=N/CC(O)=O,0.42,3,FM1,0.9543,-0.5343,0.5343
CMR_GOLD_057,O=C1C(/C=C/C(C2=CC=C(C3=CC=C(N(C)C)C=C3)S2)=O)=CC4=C(C=C(N(C)C)C=C4)O1,1.365,2,FM1,4.7055,-3.3404999999999996,3.3404999999999996
CMR_GOLD_058,O=C1C(/C=C/C(C2=CC=C(C3=CC=C(N(CC)CC)C=C3)S2)=O)=CC4=C(C=C(N(CC)CC)C=C4)O1,0.9664,2,FM1,6.3307,-5.3643,5.3643
CMR_GOLD_059,O=C1C=CC2=C(C=C3C(C=CO3)=C2)O1,1.67,0,FM0,1.949,-0.27900000000000014,0.27900000000000014
CMR_GOLD_060,O=C1C=CC2=C(C(OC)=C3C(C=CO3)=C2)O1,1.93,0,FM0,1.879,0.050999999999999934,0.050999999999999934
CMR_GOLD_061,O=C1C=CC2=C(C=C3C(C=CO3)=C2OC)O1,2.0,0,FM0,1.879,0.121,0.121
CMR_GOLD_062,O=C1C=C(C)C2=C(C(C)=C3C(C=C(C)O3)=C2)O1,3.14,0,FM4,2.769,0.371,0.371
CMR_GOLD_063,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=CC=C5,1.412,4,FM3,3.2513,-1.8393000000000002,1.8393000000000002
CMR_GOLD_064,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC(Br)=CC=C5,1.63,4,FM3,3.9765,-2.3465000000000003,2.3465000000000003
CMR_GOLD_065,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Br)C=C5,1.58,4,FM3,3.9765,-2.3965,2.3965
CMR_GOLD_066,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=C(O)C=CC=C5,0.826,4,FM3,2.9056,-2.0796,2.0796
CMR_GOLD_067,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(O)C=C5,0.645,4,FM3,2.9056,-2.2606,2.2606
CMR_GOLD_068,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Cl)C=C5,1.501,4,FM3,3.8573,-2.3563,2.3563
CMR_GOLD_069,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(C)C=C5,1.806,4,FM3,3.5952,-1.7892000000000001,1.7892000000000001
CMR_GOLD_070,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=NC=C5,1.22,5,FM3,2.2504,-1.0304,1.0304
CMR_GOLD_071,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4COC5=CC=C(Cl)C=C5,1.421,4,FM3,4.069,-2.6479999999999997,2.6479999999999997
CMR_GOLD_072,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4COC5=C(Cl)C=C(Cl)C=C5,1.471,4,FM3,4.675,-3.2039999999999997,3.2039999999999997
CMR_GOLD_073,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC4=CC3=C(OCCO3)C=C4,2.07,1,FM2,3.2256,-1.1556000000000002,1.1556000000000002
CMR_GOLD_074,COC1=CC=C(C=C1)CCNC(C)C2=C(C3=C(OC2=O)C=CC=C3)[P](OCC)(OCC)=O,2.43,1,FM2,3.3163,-0.8862999999999999,0.8862999999999999
CMR_GOLD_075,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC3=CC=CC4=C3C=CC=C4,2.65,1,FM2,4.4412,-1.7912000000000003,1.7912000000000003
CMR_GOLD_076,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NCC3=CC=C(F)C=C3,2.52,1,FM2,3.057,-0.5369999999999999,0.5369999999999999
CMR_GOLD_077,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC5=CC=C(C4=C(C(OCC)=O)C3=C(C=CC=C3)N=C4)C=C5,2.8,2,FM2,5.5413,-2.7413,2.7413
CMR_GOLD_078,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,2.25,4,FM3,1.9025,0.3474999999999999,0.3474999999999999
CMR_GOLD_079,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4O,2.02,4,FM3,1.5568,0.46320000000000006,0.46320000000000006
CMR_GOLD_080,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)CC4=CC=CC=C4[N+]([O-])=O,1.9,5,FM3,0.979,0.9209999999999999,0.9209999999999999
CMR_GOLD_081,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=C(O)C(OC)=C4,1.95,4,FM3,1.4868,0.46320000000000006,0.46320000000000006
CMR_GOLD_082,OC(C(OC)=C1)=CC=C1/C=C/C(NCC(N=N2)=CN2C3=CC4=C(C=CC=C4)OC3=O)=O,2.65,4,FM3,1.816,0.8339999999999999,0.8339999999999999
CMR_GOLD_083,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,2.38,3,FM2,2.3767,0.0032999999999998586,0.0032999999999998586
CMR_GOLD_084,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4O,2.65,3,FM2,2.031,0.6189999999999998,0.6189999999999998
CMR_GOLD_085,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)CC4=CC=CC=C4[N+]([O-])=O,2.41,4,FM3,1.4532,0.9568000000000001,0.9568000000000001
CMR_GOLD_086,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=C(O)C(OC)=C4,2.61,3,FM2,1.961,0.6489999999999998,0.6489999999999998
CMR_GOLD_087,O=C1OC2=C(C=C1N3C=C(N=N3)COC(/C=C/C4=CC=C(C(OC)=C4)O)=O)C=CC=C2,2.64,3,FM2,2.2902,0.3498000000000001,0.3498000000000001
CMR_GOLD_088,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC(OC)=C(OC)C(OC)=C3,1.498,1,FM1,2.7363,-1.2383,1.2383
CMR_GOLD_089,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C(OC)=C3,1.503,1,FM2,2.8063,-1.3033,1.3033
CMR_GOLD_090,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C=C3OC,2.152,1,FM2,2.8063,-0.6542999999999997,0.6542999999999997
CMR_GOLD_091,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC(OC)=C(OC)C(OC)=C4,1.718,1,FM2,3.3143,-1.5962999999999998,1.5962999999999998
CMR_GOLD_092,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC=C(OC)C(OC)=C4,1.779,1,FM2,3.3843,-1.6053000000000002,1.6053000000000002
CMR_GOLD_093,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=C(OC)C=C(OC)C=C4,2.288,1,FM2,3.3843,-1.0963000000000003,1.0963000000000003
CMR_GOLD_094,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC(OC)=C(OC)C(OC)=C3,1.295,1,FM1,1.5277,-0.23270000000000013,0.23270000000000013
CMR_GOLD_095,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC(OC)=C(OC)C=C3,2.454,1,FM2,1.5977,0.8563000000000003,0.8563000000000003
CMR_GOLD_096,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC=C(OC)C=C3OC,1.443,1,FM1,1.5977,-0.15469999999999984,0.15469999999999984
