ALOGPS_order,Compound_ID,SMILES,logP_exp,N_count,FM
35,CMR_GOLD_036,OC(COC1=CC(OCC(CSC2=NC3=CC=CC=C3N2)O)=CC4=C1C(C)=CC(O4)=O)CSC5=NC6=CC=CC=C6N5,0.58,4,FM3
36,CMR_GOLD_037,O=C1OC2=CC=CC=C2C(/C(NC3=CC=CC=C3)=N\O)=C1Cl,2.58,2,FM2
37,CMR_GOLD_038,O=C1OC2=CC=CC=C2C(/C(NC3=CC=C(C)C=C3)=N\O)=C1Cl,2.89,2,FM2
38,CMR_GOLD_039,O=C1OC2=CC=CC=C2C(/C(NC3CCCCC3)=N\O)=C1Cl,2.78,2,FM2
39,CMR_GOLD_040,O=C1OC2=CC=CC=C2C(/C(CCO)=N\O)=C1Cl,0.22,1,FM1
40,CMR_GOLD_041,O=C1OC2=CC=CC=C2C(/C(N)=N\OC(C)=O)=C1,1.0,2,FM1
41,CMR_GOLD_042,O=C1OC2=CC=CC=C2C(/C=N\NC3=CC=CC=C3)=C1,3.63,2,FM2
42,CMR_GOLD_043,O=C1OC2=CC=CC=C2C(C3=NOC=N3)=C1,1.95,2,FM2
43,CMR_GOLD_044,O=C1OC2=CC=CC=C2C(C3=NOC(C)=N3)=C1,2.12,2,FM2
44,CMR_GOLD_045,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=CC=C4)=N3)=C1,3.22,2,FM2
45,CMR_GOLD_046,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=C(OC)C=C4)=N3)=C1,2.98,2,FM2
46,CMR_GOLD_047,O=C1OC2=CC=CC=C2C(C3=NOCN3)=C1,1.98,2,FM2
47,CMR_GOLD_048,O=C1OC2=CC=CC=C2C(C3=NOC(C)N3)=C1,1.93,2,FM2
48,CMR_GOLD_049,O=C1OC2=CC=CC=C2C(C3=NOCN3C4=CC=CC=C4)=C1,2.45,2,FM2
49,CMR_GOLD_050,O=C1OC2=CC=CC=C2C(C3=NOC(C)N3C4=CC=CC=C4)=C1,2.7,2,FM2
50,CMR_GOLD_051,O=C1OC2=CC=CC=C2C(C3=NOC(N3C4=CC=CC=C4)=S)=C1,3.03,2,FM2
51,CMR_GOLD_052,O=C1OC2=CC=CC=C2C(C3=NOS(N3C4=CC=CC=C4)=O)=C1,2.16,2,FM2
52,CMR_GOLD_053,O=C1OC2=CC=CC=C2C(C3=NC(C4=CC=C(OC)C=C4)=NO3)=C1,3.07,2,FM2
53,CMR_GOLD_054,O=C1OC2=CC=CC=C2C(C3ON=C(C4=CC=C(OC)C=C4)O3)=C1,3.04,1,FM2
54,CMR_GOLD_055,O=C1OC2=C(C=CC=C2)C=C1,1.39,0,FM0
55,CMR_GOLD_056,O=C1OC2=C(C=CC=C2)C=C1/N=C(C(C=CC=C3)=C3N4)/C4=N/CC(O)=O,0.42,3,FM1
