Compound_ID,SMILES,logP_exp,N_count,N_group,FM,Data_Tier,Consensus,delta_Consensus,logP_range,logP_15,Coumarin_Type,SMILES_valid
CMR_GOLD_023,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.067,3,N=2-3,FM2,GOLD,5.07,-2.003,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_024,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,3.602,3,N=2-3,FM2,GOLD,5.23,-1.6280000000000006,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_025,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,3.336,3,N=2-3,FM2,GOLD,5.4,-2.0640000000000005,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_026,CCC(C1=C(C2=C(C=CC=C2)OC1=O)O)C3=CC=CC=C3,3.04,0,N=0,FM4,STRICT-GOLD,3.61,-0.5699999999999998,logP>3,logP>3.0,drug_like_coumarin,True
CMR_GOLD_027,O=C1OC2=C(C=CC(OCC(O)CN3C=NC=N3)=C2)C(C)=C1,0.45,3,N=2-3,FM1,STRICT-GOLD,1.33,-0.8800000000000001,logP<1,logP<1.5,conjugated_coumarin,True
CMR_GOLD_028,O=C1OC2=C(C=CC(OCC(O)CN3N=NC4=C3C=CC=C4)=C2)C(C)=C1,0.6,3,N=2-3,FM1,STRICT-GOLD,2.35,-1.75,logP<1,logP<1.5,conjugated_coumarin,True
CMR_GOLD_029,O=C1OC2=C(C=CC(OCC(O)CN3C=NC4=C3C=CC=C4)=C2)C(C)=C1,0.55,2,N=2-3,FM1,STRICT-GOLD,2.59,-2.04,logP<1,logP<1.5,conjugated_coumarin,True
CMR_GOLD_030,O=C1OC2=C(C=CC(OCC(O)CN3C=NC4=C3C=C(C)C(C)=C4)=C2)C(C)=C1,0.61,2,N=2-3,FM1,STRICT-GOLD,3.24,-2.6300000000000003,logP<1,logP<1.5,conjugated_coumarin,True
CMR_GOLD_031,O=C1OC2=C(C=CC(OCC(O)CSC3=NC4=CC=CC=C4N3)=C2)C(C)=C1,0.49,2,N=2-3,FM1,STRICT-GOLD,3.17,-2.68,logP<1,logP<1.5,conjugated_coumarin,True
CMR_GOLD_032,OC(COC1=CC(OCC(CN2C=NC=N2)O)=CC3=C1C(C)=CC(O3)=O)CN4C=NC=N4,0.65,6,N≥4,FM3,STRICT-GOLD,0.66,-0.01,logP<1,logP<1.5,conjugated_coumarin,True
CMR_GOLD_033,O=C1OC2=C(C(OCC(O)CN3N=NC4=C3C=CC=C4)=CC(OCC(O)CN5N=NC6=C5C=CC=C6)=C2)C(C)=C1,0.48,6,N≥4,FM3,STRICT-GOLD,2.61,-2.13,logP<1,logP<1.5,conjugated_coumarin,True
CMR_GOLD_034,OC(COC1=CC(OCC(CN2C=NC3=C2C=CC=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=CC=C6,0.49,4,N≥4,FM3,STRICT-GOLD,3.02,-2.53,logP<1,logP<1.5,conjugated_coumarin,True
CMR_GOLD_035,OC(COC1=CC(OCC(CN2C=NC3=C2C=C(C)C(C)=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=C(C)C(C)=C6,0.61,4,N≥4,FM3,STRICT-GOLD,4.42,-3.81,logP<1,logP<1.5,conjugated_coumarin,True
CMR_GOLD_036,OC(COC1=CC(OCC(CSC2=NC3=CC=CC=C3N2)O)=CC4=C1C(C)=CC(O4)=O)CSC5=NC6=CC=CC=C6N5,0.58,4,N≥4,FM3,STRICT-GOLD,4.25,-3.67,logP<1,logP<1.5,conjugated_coumarin,True
