Predictor,Predictor_group,Subset,n,Bias,MAE,RMSE,R2,Overestimated_percent,Underestimated_percent,Severe_abs_error_percent,Severe_overestimation_percent,Severe_underestimation_percent
SwissADME_Consensus,Primary SwissADME-associated reference,Full dataset,95,-0.8791852631578948,1.1636063157894738,1.5109614017153727,-0.7673698498076478,77.89473684210526,22.105263157894736,16.842105263157894,15.789473684210526,1.0526315789473684
SwissADME_Consensus,Primary SwissADME-associated reference,Polar logP <= 1.0,16,-2.0839125000000003,2.0839125000000003,2.4525545605551775,-161.88737365737506,100.0,0.0,50.0,50.0,0.0
SwissADME_Consensus,Primary SwissADME-associated reference,N = 1-3 and logP < 1.5,13,-2.0271230769230764,2.0271230769230764,2.358372710806526,-29.757767914597757,100.0,0.0,38.46153846153847,38.46153846153847,0.0
SwissADME_Consensus,Primary SwissADME-associated reference,FM1 severe overestimation regime,13,-2.0271230769230764,2.0271230769230764,2.358372710806526,-29.757767914597757,100.0,0.0,38.46153846153847,38.46153846153847,0.0
SwissADME_Consensus,Primary SwissADME-associated reference,FM2 intermediate / high-disagreement regime,44,-0.8717500000000001,1.0090227272727275,1.2515317978018343,-1.2832174535116057,84.0909090909091,15.909090909090908,13.636363636363635,13.636363636363635,0.0
SwissADME_Consensus,Primary SwissADME-associated reference,FM3 mixed high-N regime,27,-0.7777037037037036,1.1614074074074074,1.5337874206851,-1.3998956882565006,62.96296296296296,37.03703703703704,14.814814814814813,14.814814814814813,0.0
SwissADME_Consensus,Primary SwissADME-associated reference,FM4 exploratory boundary observation,5,0.7499999999999999,0.9979999999999999,1.3615799645999493,-1.9688240644657111,40.0,60.0,20.0,0.0,20.0
RDKit_MolLogP,External comparator,Full dataset,95,-1.4008451578947392,1.6064152631578967,2.0719620362334443,-2.323412806065715,82.10526315789474,17.894736842105264,41.05263157894737,41.05263157894737,0.0
RDKit_MolLogP,External comparator,Polar logP <= 1.0,16,-2.5004575000000013,2.5641300000000014,2.970553050872853,-237.9597147921788,87.5,12.5,62.5,62.5,0.0
RDKit_MolLogP,External comparator,N = 1-3 and logP < 1.5,13,-2.2100338461538476,2.2136646153846167,2.7022312181318173,-39.380802700876174,92.3076923076923,7.6923076923076925,46.15384615384615,46.15384615384615,0.0
RDKit_MolLogP,External comparator,FM1 severe overestimation regime,13,-2.2100338461538476,2.2136646153846167,2.7022312181318173,-39.380802700876174,92.3076923076923,7.6923076923076925,46.15384615384615,46.15384615384615,0.0
RDKit_MolLogP,External comparator,FM2 intermediate / high-disagreement regime,44,-1.374117045454548,1.480230681818184,1.8888729167566642,-4.200785932812399,86.36363636363636,13.636363636363635,43.18181818181818,43.18181818181818,0.0
RDKit_MolLogP,External comparator,FM3 mixed high-N regime,27,-1.5577348148148165,1.7910370370370388,2.2976328479675048,-4.385465960407086,74.07407407407408,25.925925925925924,51.85185185185185,51.85185185185185,0.0
RDKit_MolLogP,External comparator,FM4 exploratory boundary observation,5,0.3461879999999976,1.0080120000000008,1.1876901339659258,-1.25893874719756,60.0,40.0,0.0,0.0,0.0
DataWarrior_cLogP,External comparator,Full dataset,95,-0.7307452631578948,1.201505263157895,1.5450288721540042,-0.8479656769915627,65.26315789473685,34.73684210526316,20.0,17.894736842105264,2.1052631578947367
DataWarrior_cLogP,External comparator,Polar logP <= 1.0,16,-1.5998625,1.8783875,2.2861689578309825,-140.5359331670207,81.25,18.75,43.75,43.75,0.0
DataWarrior_cLogP,External comparator,N = 1-3 and logP < 1.5,13,-1.4219999999999997,1.4905538461538461,2.0836488132415876,-23.009271341237003,84.61538461538461,15.384615384615385,30.76923076923077,30.76923076923077,0.0
DataWarrior_cLogP,External comparator,FM1 severe overestimation regime,13,-1.4219999999999997,1.4905538461538461,2.0836488132415876,-23.009271341237003,84.61538461538461,15.384615384615385,30.76923076923077,30.76923076923077,0.0
DataWarrior_cLogP,External comparator,FM2 intermediate / high-disagreement regime,44,-0.6858409090909091,0.9943636363636362,1.209988747881566,-1.1341560034525884,70.45454545454545,29.545454545454547,9.090909090909092,9.090909090909092,0.0
DataWarrior_cLogP,External comparator,FM3 mixed high-N regime,27,-0.915174074074074,1.5464259259259263,1.8231189090859288,-2.390720666516071,55.55555555555556,44.44444444444444,33.33333333333333,33.33333333333333,0.0
DataWarrior_cLogP,External comparator,FM4 exploratory boundary observation,5,0.8678999999999999,1.20382,1.5782290004939081,-2.9887626638225924,40.0,60.0,40.0,0.0,40.0
ALOGPS_2_1_logP,External comparator,Full dataset,95,-1.1158168421052632,1.3389747368421052,1.7285724257773798,-1.3131077474175448,84.21052631578947,11.578947368421053,34.73684210526316,32.631578947368425,2.1052631578947367
ALOGPS_2_1_logP,External comparator,Polar logP <= 1.0,16,-2.1526625,2.1914125,2.565135692804574,-177.18484069810518,93.75,6.25,68.75,68.75,0.0
ALOGPS_2_1_logP,External comparator,N = 1-3 and logP < 1.5,13,-2.039430769230769,2.039430769230769,2.5327261074550904,-34.47369176220285,100.0,0.0,46.15384615384615,46.15384615384615,0.0
ALOGPS_2_1_logP,External comparator,FM1 severe overestimation regime,13,-2.039430769230769,2.039430769230769,2.5327261074550904,-34.47369176220285,100.0,0.0,46.15384615384615,46.15384615384615,0.0
ALOGPS_2_1_logP,External comparator,FM2 intermediate / high-disagreement regime,44,-1.1310681818181818,1.2497045454545452,1.5373136324593801,-2.4449938896408314,86.36363636363636,11.363636363636363,29.545454545454547,29.545454545454547,0.0
ALOGPS_2_1_logP,External comparator,FM3 mixed high-N regime,27,-1.2869629629629629,1.318074074074074,1.7029782626219758,-1.9585589785529702,81.48148148148148,7.4074074074074066,44.44444444444444,44.44444444444444,0.0
ALOGPS_2_1_logP,External comparator,FM4 exploratory boundary observation,5,1.064,1.4199999999999995,1.768321237784583,-4.007494523233023,40.0,60.0,40.0,0.0,40.0
OPERA_logP,External comparator,Full dataset,95,0.01818315789473684,1.2361115789473685,1.722352778705858,-1.296491919348365,43.15789473684211,54.736842105263165,13.684210526315791,8.421052631578947,5.263157894736842
OPERA_logP,External comparator,Polar logP <= 1.0,16,-1.6807874999999999,1.9609124999999998,2.282954253264835,-140.13817051539945,81.25,18.75,37.5,37.5,0.0
OPERA_logP,External comparator,N = 1-3 and logP < 1.5,13,-1.8194307692307692,2.0286615384615385,2.3982798957714544,-30.80750964582062,92.3076923076923,7.6923076923076925,30.76923076923077,30.76923076923077,0.0
