N_group,n,mean_delta,median_delta,mae,rmse,overestimated_percent,severe_error_n,severe_overestimation_n,mean_spread4
N = 0,98,0.358265306122449,0.5199999999999998,0.6849999999999999,0.8460430104375334,15.306122448979592,3,3,1.6540816326530612
N = 1,9,0.04333333333333335,0.1100000000000001,0.6877777777777777,0.7858541001144339,44.44444444444444,0,0,1.6066666666666665
N = 2–3,9,-0.1911111111111111,-0.08,0.64,0.7831843830017156,55.55555555555556,0,0,2.362222222222222
N ≥ 4,10,-1.706,-2.1,1.936,1.9929977420960616,90.0,7,7,1.8700000000000003
