Predictor,n,Bias,MAE,RMSE,Overestimated_percent,Severe_abs_error_percent,R2,Missing_predictions
iLOGP,0,,,,,,,126
XLOGP3,126,0.39523809523809533,1.2842857142857143,1.559790380706982,26.190476190476193,15.079365079365079,-0.6029441139160414,0
WLOGP,126,-0.6779365079365081,0.8522222222222222,1.3115851308838309,80.95238095238095,13.492063492063492,-0.13338869059508718,0
MLOGP,126,0.4617460317460318,0.9641269841269843,1.1376228348120103,19.047619047619047,9.523809523809524,0.1473270076855262,0
Silicos_IT,126,0.3537301587301587,0.7254761904761904,0.915562538500108,21.428571428571427,3.968253968253968,0.44771666982147285,0
Consensus,126,0.13269841269841273,0.7812698412698413,0.9797400043840591,26.190476190476193,7.936507936507936,0.3675770984079908,0
