External_ID,Sangster_ID,Name,CASRN,Canonical_SMILES,InChIKey,logP_exp,N_count,N_group,logP_bin,O_count,MW,TPSA,HBD,HBA,Heavy_atoms,dot_disconnected_entry,strict_coumarin_any,aromatic_coumarin_core,overlap_exact_inchikey_with_95,overlap_first_block_with_95,SMILES,Formula,InChIKey_first_block,valid_mol,strict_coumarin_core,four_hydroxycoumarin_like,name_contains_coumarin,coumarin_candidate_any
SANG_CMR_EXT_028,R38331375,"2H-Furo[2,3-h]-1-benzopyran-2-one, 5,9-dimethyl-",5762-92-5,Cc1cc2occ(C)c2c2oc(=O)ccc12,SYNCKGPPLJHSSM-UHFFFAOYSA-N,2.92,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999997,43.35,0,3,16,False,True,True,False,False,CC1=COC2=CC(C)=C3C=CC(=O)OC3=C12,C13H10O3,SYNCKGPPLJHSSM,True,False,False,True,True
SANG_CMR_EXT_029,R38331377,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,9-dimethyl-",22975-76-4,Cc1cc(=O)oc2c1ccc1occ(C)c12,ZUOUYRRXKPHFSV-UHFFFAOYSA-N,2.81,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999997,43.35,0,3,16,False,True,True,False,False,CC1=COC2=CC=C3C(C)=CC(=O)OC3=C12,C13H10O3,ZUOUYRRXKPHFSV,True,False,False,True,True
SANG_CMR_EXT_030,R38331379,"7H-Furo[3,2-g][1]benzopyran-7-one, 5,6-dimethyl-",7469-12-7,Cc1c(C)c2cc3ccoc3cc2oc1=O,SWVLWPCPLVHMHY-UHFFFAOYSA-N,2.77,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999994,43.35,0,3,16,False,True,True,False,False,CC1=C(C)C2=C(OC1=O)C=C1OC=CC1=C2,C13H10O3,SWVLWPCPLVHMHY,True,False,False,False,True
SANG_CMR_EXT_031,R38331380,"7H-Furo[3,2-g][1]benzopyran-7-one, 5,9-dimethyl-",15912-90-0,Cc1cc(=O)oc2c(C)c3occc3cc12,JLYPOISSVAJQID-UHFFFAOYSA-N,2.82,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.22,43.35,0,3,16,False,True,True,False,False,CC1=CC(=O)OC2=C1C=C1C=COC1=C2C,C13H10O3,JLYPOISSVAJQID,True,False,False,False,True
SANG_CMR_EXT_032,R38331381,"7H-Furo[3,2-g][1]benzopyran-7-one, 3,5-dimethyl-",15183-96-7,Cc1coc2cc3oc(=O)cc(C)c3cc12,AGHQLFRJTDLUFW-UHFFFAOYSA-N,2.76,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999997,43.35,0,3,16,False,True,True,False,False,CC1=COC2=CC3=C(C=C12)C(C)=CC(=O)O3,C13H10O3,AGHQLFRJTDLUFW,True,False,False,False,True
SANG_CMR_EXT_033,R38331382,"7H-Furo[3,2-g][1]benzopyran-7-one, 2,5-dimethyl-",4046-74-6,Cc1cc2cc3c(C)cc(=O)oc3cc2o1,GJYYXSDOKGEWNX-UHFFFAOYSA-N,2.82,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999997,43.35,0,3,16,False,True,True,False,False,CC1=CC2=CC3=C(OC(=O)C=C3C)C=C2O1,C13H10O3,GJYYXSDOKGEWNX,True,False,False,False,True
SANG_CMR_EXT_034,R38331383,"7H-Furo[3,2-g][1]benzopyran-7-one, 3,4-dimethyl-",362518-94-3,Cc1coc2cc3oc(=O)ccc3c(C)c12,UVNSEVCCHXYRIC-UHFFFAOYSA-N,2.79,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999997,43.35,0,3,16,False,True,True,False,False,CC1=COC2=CC3=C(C=CC(=O)O3)C(C)=C12,C13H10O3,UVNSEVCCHXYRIC,True,False,False,False,True
SANG_CMR_EXT_035,R38331384,"7H-Furo[3,2-g][1]benzopyran-7-one, 2,4-dimethyl-",362518-95-4,Cc1cc2c(C)c3ccc(=O)oc3cc2o1,QBUUKVXBMWQDDR-UHFFFAOYSA-N,2.84,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999997,43.35,0,3,16,False,True,True,False,False,CC1=CC2=C(C)C3=C(OC(=O)C=C3)C=C2O1,C13H10O3,QBUUKVXBMWQDDR,True,False,False,False,True
SANG_CMR_EXT_036,R38331385,"7H-Furo[3,2-g][1]benzopyran-7-one, 2,9-dimethyl-",3993-55-3,Cc1cc2cc3ccc(=O)oc3c(C)c2o1,DIHWOVDWZWBMAI-UHFFFAOYSA-N,2.93,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999994,43.35,0,3,16,False,True,True,False,False,CC1=CC2=CC3=C(OC(=O)C=C3)C(C)=C2O1,C13H10O3,DIHWOVDWZWBMAI,True,False,False,False,True
SANG_CMR_EXT_037,R38331386,"7H-Furo[3,2-g][1]benzopyran-7-one, 2,3-dimethyl-",4196-58-1,Cc1oc2cc3oc(=O)ccc3cc2c1C,SXACOUILNSSCPR-UHFFFAOYSA-N,2.93,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999997,43.35,0,3,16,False,True,True,False,False,CC1=C(C)C2=CC3=C(OC(=O)C=C3)C=C2O1,C13H10O3,SXACOUILNSSCPR,True,False,False,False,True
SANG_CMR_EXT_038,R38331388,"2H-Furo[2,3-h]-1-benzopyran-2-one, 8,9-dimethyl-",78982-41-9,Cc1oc2ccc3ccc(=O)oc3c2c1C,JLAPWSNBHNHNRQ-UHFFFAOYSA-N,2.94,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999994,43.35,0,3,16,False,True,True,False,False,CC1=C(C)C2=C3OC(=O)C=CC3=CC=C2O1,C13H10O3,JLAPWSNBHNHNRQ,True,False,False,True,True
SANG_CMR_EXT_039,R38331389,"2H-Furo[2,3-h]-1-benzopyran-2-one, 6,8-dimethyl-",90370-11-9,Cc1cc2c(o1)c(C)cc1ccc(=O)oc12,VWISGRNVMLSLCE-UHFFFAOYSA-N,2.85,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999997,43.35,0,3,16,False,True,True,False,False,CC1=CC2=C3OC(=O)C=CC3=CC(C)=C2O1,C13H10O3,VWISGRNVMLSLCE,True,False,False,True,True
SANG_CMR_EXT_040,R38331390,"2H-Furo[2,3-h]-1-benzopyran-2-one, 6,9-dimethyl-",90370-28-8,Cc1cc2ccc(=O)oc2c2c(C)coc12,BYQGTFHDFUYLOW-UHFFFAOYSA-N,2.88,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999997,43.35,0,3,16,False,True,True,False,False,CC1=COC2=C(C)C=C3C=CC(=O)OC3=C12,C13H10O3,BYQGTFHDFUYLOW,True,False,False,True,True
SANG_CMR_EXT_041,R38331392,"2H-Furo[2,3-h]-1-benzopyran-2-one, 5,6-dimethyl-",90370-16-4,Cc1c(C)c2occc2c2oc(=O)ccc12,WQRSPHCXNJWEAX-UHFFFAOYSA-N,2.84,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999997,43.35,0,3,16,False,True,True,False,False,CC1=C2OC=CC2=C2OC(=O)C=CC2=C1C,C13H10O3,WQRSPHCXNJWEAX,True,False,False,True,True
SANG_CMR_EXT_042,R38331393,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,6-dimethyl-",90370-15-3,Cc1cc(=O)oc2c1cc(C)c1occc12,PHABYDNILJBPFQ-UHFFFAOYSA-N,2.79,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999997,43.35,0,3,16,False,True,True,False,False,CC1=C2OC=CC2=C2OC(=O)C=C(C)C2=C1,C13H10O3,PHABYDNILJBPFQ,True,False,False,True,True
SANG_CMR_EXT_043,R38331394,"2H-Furo[2,3-h]-1-benzopyran-2-one, 3,8-dimethyl-",91666-92-1,Cc1cc2c(ccc3cc(C)c(=O)oc32)o1,GVJWIPVKSNGMIZ-UHFFFAOYSA-N,2.97,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999994,43.35,0,3,16,False,True,True,False,False,CC1=CC2=C3OC(=O)C(C)=CC3=CC=C2O1,C13H10O3,GVJWIPVKSNGMIZ,True,False,False,True,True
SANG_CMR_EXT_044,R38331395,"2H-Furo[2,3-h]-1-benzopyran-2-one, 3,9-dimethyl-",91666-91-0,Cc1cc2ccc3occ(C)c3c2oc1=O,YVOFWNBKECJEJR-UHFFFAOYSA-N,2.97,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999994,43.35,0,3,16,False,True,True,False,False,CC1=COC2=CC=C3C=C(C)C(=O)OC3=C12,C13H10O3,YVOFWNBKECJEJR,True,False,False,True,True
SANG_CMR_EXT_045,R38331396,"2H-Furo[2,3-h]-1-benzopyran-2-one, 3,4-dimethyl-",91666-90-9,Cc1c(C)c2ccc3occc3c2oc1=O,WBERMSXOELNMLB-UHFFFAOYSA-N,2.9,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999997,43.35,0,3,16,False,True,True,False,False,CC1=C(C)C2=CC=C3OC=CC3=C2OC1=O,C13H10O3,WBERMSXOELNMLB,True,False,False,True,True
SANG_CMR_EXT_046,R38331399,"7H-Furo[3,2-g][1]benzopyran-7-one, 3,9-dimethyl-",5762-96-9,Cc1coc2c(C)c3oc(=O)ccc3cc12,RGHZPKMHRQIHSB-UHFFFAOYSA-N,2.81,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.22,43.35,0,3,16,False,True,True,False,False,CC1=COC2=C(C)C3=C(C=CC(=O)O3)C=C12,C13H10O3,RGHZPKMHRQIHSB,True,False,False,False,True
SANG_CMR_EXT_047,R38331737,"2H-1-Benzopyran-3-carboxamide, N-(1-methylethyl)-2-oxo-",1846-82-8,CC(C)NC(=O)c1cc2ccccc2oc1=O,DYFRHCOMCPYXPQ-UHFFFAOYSA-N,2.13,1,N = 1,1.5 ≤ logP ≤ 3.0,3,231.25099999999998,59.31,1,3,17,False,True,True,False,False,CC(C)NC(=O)C1=CC2=CC=CC=C2OC1=O,C13H13NO3,DYFRHCOMCPYXPQ,True,False,False,False,True
SANG_CMR_EXT_048,R38333883,"2H-Thieno[3,2-g]-1-benzopyran-2-one, 4,6,7-trimethyl-",214536-98-8,Cc1sc2cc3oc(=O)cc(C)c3cc2c1C,XYPRBCNGODSLKJ-UHFFFAOYSA-N,3.48,0,N = 0,logP > 3.0,2,244.31499999999997,30.21,0,3,17,False,True,True,False,False,CC1=C(C)C2=CC3=C(OC(=O)C=C3C)C=C2S1,C14H12O2S,XYPRBCNGODSLKJ,True,False,False,True,True
SANG_CMR_EXT_049,R38333884,"2H-Thieno[2,3-h]benzofuran-2-one, 4,8,9-trimethyl-",213967-52-3,Cc1sc2ccc3c(C)cc(=O)oc3c2c1C,RVAZWMGONPBJFK-UHFFFAOYSA-N,3.65,0,N = 0,logP > 3.0,2,244.31499999999994,30.21,0,3,17,False,True,True,False,False,CC1=C(C)C2=C3OC(=O)C=C(C)C3=CC=C2S1,C14H12O2S,RVAZWMGONPBJFK,True,False,False,False,True
SANG_CMR_EXT_050,R38333893,"7H-Furo[3,2-g][1]benzopyran-7-one, 5,6,9-trimethyl-",15912-93-3,Cc1c(C)c2cc3ccoc3c(C)c2oc1=O,OBBNHWAIDHAZOZ-UHFFFAOYSA-N,3.25,0,N = 0,logP > 3.0,3,228.24699999999993,43.35,0,3,17,False,True,True,False,False,CC1=C2OC=CC2=CC2=C1OC(=O)C(C)=C2C,C14H12O3,OBBNHWAIDHAZOZ,True,False,False,False,True
SANG_CMR_EXT_051,R38333894,"7H-Furo[3,2-g][1]benzopyran-7-one, 3,5,9-trimethyl-",15294-25-4,Cc1coc2c(C)c3oc(=O)cc(C)c3cc12,JQJZXIAXWYFOJQ-UHFFFAOYSA-N,3.25,0,N = 0,logP > 3.0,3,228.24699999999999,43.35,0,3,17,False,True,True,False,False,CC1=COC2=C(C)C3=C(C=C12)C(C)=CC(=O)O3,C14H12O3,JQJZXIAXWYFOJQ,True,False,False,False,True
SANG_CMR_EXT_052,R38333895,"7H-Furo[3,2-g][1]benzopyran-7-one, 2,3,5-trimethyl-",13008-11-2,Cc1oc2cc3oc(=O)cc(C)c3cc2c1C,KKDGKMBVFICGHW-UHFFFAOYSA-N,3.22,0,N = 0,logP > 3.0,3,228.24699999999996,43.35,0,3,17,False,True,True,False,False,CC1=C(C)C2=CC3=C(OC(=O)C=C3C)C=C2O1,C14H12O3,KKDGKMBVFICGHW,True,False,False,False,True
SANG_CMR_EXT_053,R38333896,"7H-Furo[3,2-g][1]benzopyran-7-one, 2,3,4-trimethyl-",362518-96-5,Cc1oc2cc3oc(=O)ccc3c(C)c2c1C,JLAXMAYZMOLLHI-UHFFFAOYSA-N,3.27,0,N = 0,logP > 3.0,3,228.24699999999996,43.35,0,3,17,False,True,True,False,False,CC1=C(C)C2=C(C)C3=C(OC(=O)C=C3)C=C2O1,C14H12O3,JLAXMAYZMOLLHI,True,False,False,False,True
SANG_CMR_EXT_054,R38333897,"5-Benzofuranacrylic acid, 6-hydroxy-3,4,7-trimethyl-, delta-lactone",2273-88-3,Cc1c2oc(=O)ccc2c(C)c2c(C)coc12,LDCKHPCOLYHPCO-UHFFFAOYSA-N,3.35,0,N = 0,logP > 3.0,3,228.24699999999996,43.35,0,3,17,False,True,True,False,False,CC1=COC2=C(C)C3=C(C=CC(=O)O3)C(C)=C12,C14H12O3,LDCKHPCOLYHPCO,True,False,False,False,True
SANG_CMR_EXT_055,R38333898,"2H-Furo[2,3-h]-1-benzopyran-2-one, 6,8,9-trimethyl-",112308-10-8,Cc1oc2c(C)cc3ccc(=O)oc3c2c1C,QDAPMZLOJQVWSW-UHFFFAOYSA-N,3.34,0,N = 0,logP > 3.0,3,228.24699999999996,43.35,0,3,17,False,True,True,False,False,CC1=C(C)C2=C3OC(=O)C=CC3=CC(C)=C2O1,C14H12O3,QDAPMZLOJQVWSW,True,False,False,True,True
SANG_CMR_EXT_056,R38333899,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,5,8-trimethyl-",,Cc1cc2c(cc(C)c3c(C)cc(=O)oc32)o1,AKIMXGRHNFPHST-UHFFFAOYSA-N,3.36,0,N = 0,logP > 3.0,3,228.24699999999996,43.35,0,3,17,False,True,True,False,False,CC1=CC2=C3OC(=O)C=C(C)C3=C(C)C=C2O1,C14H12O3,AKIMXGRHNFPHST,True,False,False,True,True
