Sangster_ID,Name,CASRN,SMILES,logP_exp,Canonical_SMILES,InChIKey,Formula,InChIKey_first_block,valid_mol,strict_coumarin_core,aromatic_coumarin_core,four_hydroxycoumarin_like,strict_coumarin_any,name_contains_coumarin,coumarin_candidate_any,overlap_exact_inchikey_with_95,overlap_first_block_with_95
R38325469,"2H-Furo[2,3-H]-1-benzopyran-2-one",523-50-2,O=C1OC2=C3C=COC3=CC=C2C=C1,2.08,O=c1ccc2ccc3occc3c2o1,XDROKJSWHURZGO-UHFFFAOYSA-N,C11H6O3,XDROKJSWHURZGO,True,False,True,False,True,True,True,False,False
R38325586,"2H-1-Benzopyran-2-one, 3-acetyl-",3949-36-8,CC(=O)C1=CC2=CC=CC=C2OC1=O,1.5,CC(=O)c1cc2ccccc2oc1=O,CSPIFKKOBWYOEX-UHFFFAOYSA-N,C11H8O3,CSPIFKKOBWYOEX,True,False,True,False,True,True,True,False,False
R38325789,7-Methoxy-4-methylcoumarin,2555-28-4,COC1=CC2=C(C=C1)C(C)=CC(=O)O2,3.16,COc1ccc2c(C)cc(=O)oc2c1,UDFPKNSWSYBIHO-UHFFFAOYSA-N,C11H10O3,UDFPKNSWSYBIHO,True,False,True,False,True,True,True,False,False
R38325792,"2H-1-Benopyran-2-one, 6,7-dimethoxy-",120-08-1,COC1=CC2=C(C=CC(=O)O2)C=C1OC,2.45,COc1cc2ccc(=O)oc2cc1OC,GUAFOGOEJLSQBT-UHFFFAOYSA-N,C11H10O4,GUAFOGOEJLSQBT,True,False,True,False,True,False,True,False,False
R38328630,"2H-FURO[2,3-H]-1-BENZOPYRAN-2-ONE, 4-METHYL-",6457-92-7,CC1=CC(=O)OC2=C3C=COC3=CC=C12,2.34,Cc1cc(=O)oc2c1ccc1occc12,HCYYGOURSFQHRV-UHFFFAOYSA-N,C12H8O3,HCYYGOURSFQHRV,True,False,True,False,True,True,True,False,False
R38328632,"2H-Furo[2,3-h]-1-benzopyran-2-one, 5-methyl-",73459-03-7,CC1=C2C=CC(=O)OC2=C2C=COC2=C1,2.5,Cc1cc2occc2c2oc(=O)ccc12,ZJVOHJVSTORGLI-UHFFFAOYSA-N,C12H8O3,ZJVOHJVSTORGLI,True,False,True,False,True,True,True,False,False
R38328634,"2H-FURO[2,3-H]-1-BENZOPYRAN-2-ONE, 8-METHYL-",15798-77-3,CC1=CC2=C3OC(=O)C=CC3=CC=C2O1,2.49,Cc1cc2c(ccc3ccc(=O)oc32)o1,VVZYOVZUPIFCCR-UHFFFAOYSA-N,C12H8O3,VVZYOVZUPIFCCR,True,False,True,False,True,True,True,False,False
R38328636,"2H-FURO[2,3-H]-1-BENZOPYRAN-2-ONE, 9-METHYL-",78982-40-8,CC1=COC2=CC=C3C=CC(=O)OC3=C12,2.51,Cc1coc2ccc3ccc(=O)oc3c12,NHOICFAHZSXGJY-UHFFFAOYSA-N,C12H8O3,NHOICFAHZSXGJY,True,False,True,False,True,True,True,False,False
R38328637,"7H-furo[3,2-g][1]benzopyran-7-one, 4-methyl-",15912-89-7,CC1=C2C=COC2=CC2=C1C=CC(=O)O2,2.33,Cc1c2ccoc2cc2oc(=O)ccc12,CDPRWGCJWLAYAD-UHFFFAOYSA-N,C12H8O3,CDPRWGCJWLAYAD,True,False,True,False,True,False,True,False,False
R38328638,"7H-Furo[3,2-g][1]benzopyran-7-one, 9-methyl-",15912-88-6,CC1=C2OC=CC2=CC2=C1OC(=O)C=C2,2.48,Cc1c2occc2cc2ccc(=O)oc12,IVUMRIXSXVKOMB-UHFFFAOYSA-N,C12H8O3,IVUMRIXSXVKOMB,True,False,True,False,True,False,True,False,False
R38328640,"2H-Furo[2,3-h]-1-benzopyran-2-one, 6-methyl-",90370-14-2,CC1=C2OC=CC2=C2OC(=O)C=CC2=C1,2.43,Cc1cc2ccc(=O)oc2c2ccoc12,PFVGXOYZQOJGGR-UHFFFAOYSA-N,C12H8O3,PFVGXOYZQOJGGR,True,False,True,False,True,True,True,False,False
R38328642,"2H-Furo[2,3-h]-1-benzopyran-2-one, 3-methyl-",91666-89-6,CC1=CC2=CC=C3OC=CC3=C2OC1=O,2.49,Cc1cc2ccc3occc3c2oc1=O,LFOMIXFRGAIFQF-UHFFFAOYSA-N,C12H8O3,LFOMIXFRGAIFQF,True,False,True,False,True,True,True,False,False
R38328643,"7H-Furo[3,2-g][1]benzopyran-7-one, 3-methyl-",1137-75-3,CC1=COC2=CC3=C(C=CC(=O)O3)C=C12,2.47,Cc1coc2cc3oc(=O)ccc3cc12,NHIJIVPEMQAWBA-UHFFFAOYSA-N,C12H8O3,NHIJIVPEMQAWBA,True,False,True,False,True,False,True,False,False
R38328860,"2H-1-Benzopyran-2-one, 3-chloro-4-[3-hydroxy-1-(hydroxyimino(propyl]-",627878-57-3,OCCC(=NO)C1=C(Cl)C(=O)OC2=CC=CC=C12,0.22,O=c1oc2ccccc2c(C(CCO)=NO)c1Cl,VUEARWNFBJBNSK-UHFFFAOYSA-N,C12H10ClNO4,VUEARWNFBJBNSK,True,False,True,False,True,True,True,False,True
R38331371,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,8-dimethyl-",4063-41-6,CC1=CC2=C3OC(=O)C=C(C)C3=CC=C2O1,2.79,Cc1cc2c(ccc3c(C)cc(=O)oc32)o1,PFFGIQUVLUEURV-UHFFFAOYSA-N,C13H10O3,PFFGIQUVLUEURV,True,False,True,False,True,True,True,False,False
R38331373,"2H-Furo[2,3-h]-1-benzopyran-2-one, 5,8-dimethyl-",76605-65-7,CC1=CC2=C3OC(=O)C=CC3=C(C)C=C2O1,2.92,Cc1cc2c(cc(C)c3ccc(=O)oc32)o1,RINHXDAQQJHPOB-UHFFFAOYSA-N,C13H10O3,RINHXDAQQJHPOB,True,False,True,False,True,True,True,False,False
R38331375,"2H-Furo[2,3-h]-1-benzopyran-2-one, 5,9-dimethyl-",5762-92-5,CC1=COC2=CC(C)=C3C=CC(=O)OC3=C12,2.92,Cc1cc2occ(C)c2c2oc(=O)ccc12,SYNCKGPPLJHSSM-UHFFFAOYSA-N,C13H10O3,SYNCKGPPLJHSSM,True,False,True,False,True,True,True,False,False
R38331377,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,9-dimethyl-",22975-76-4,CC1=COC2=CC=C3C(C)=CC(=O)OC3=C12,2.81,Cc1cc(=O)oc2c1ccc1occ(C)c12,ZUOUYRRXKPHFSV-UHFFFAOYSA-N,C13H10O3,ZUOUYRRXKPHFSV,True,False,True,False,True,True,True,False,False
R38331379,"7H-Furo[3,2-g][1]benzopyran-7-one, 5,6-dimethyl-",7469-12-7,CC1=C(C)C2=C(OC1=O)C=C1OC=CC1=C2,2.77,Cc1c(C)c2cc3ccoc3cc2oc1=O,SWVLWPCPLVHMHY-UHFFFAOYSA-N,C13H10O3,SWVLWPCPLVHMHY,True,False,True,False,True,False,True,False,False
R38331380,"7H-Furo[3,2-g][1]benzopyran-7-one, 5,9-dimethyl-",15912-90-0,CC1=CC(=O)OC2=C1C=C1C=COC1=C2C,2.82,Cc1cc(=O)oc2c(C)c3occc3cc12,JLYPOISSVAJQID-UHFFFAOYSA-N,C13H10O3,JLYPOISSVAJQID,True,False,True,False,True,False,True,False,False
R38331381,"7H-Furo[3,2-g][1]benzopyran-7-one, 3,5-dimethyl-",15183-96-7,CC1=COC2=CC3=C(C=C12)C(C)=CC(=O)O3,2.76,Cc1coc2cc3oc(=O)cc(C)c3cc12,AGHQLFRJTDLUFW-UHFFFAOYSA-N,C13H10O3,AGHQLFRJTDLUFW,True,False,True,False,True,False,True,False,False
