External_ID,Sangster_ID,Name,CASRN,Canonical_SMILES,InChIKey,logP_exp,N_count,N_group,logP_bin,O_count,MW,TPSA,HBD,HBA,Heavy_atoms,dot_disconnected_entry,strict_coumarin_any,aromatic_coumarin_core,overlap_exact_inchikey_with_95,overlap_first_block_with_95,SMILES,Formula,InChIKey_first_block,valid_mol,strict_coumarin_core,four_hydroxycoumarin_like,name_contains_coumarin,coumarin_candidate_any,SwissADME_SMILES,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos_IT,Consensus,delta_iLOGP,abs_delta_iLOGP,delta_XLOGP3,abs_delta_XLOGP3,delta_WLOGP,abs_delta_WLOGP,delta_MLOGP,abs_delta_MLOGP,delta_Silicos_IT,abs_delta_Silicos_IT,delta_Consensus,abs_delta_Consensus,Spread4,Consensus_overestimated,Consensus_severe_error,Consensus_severe_overestimation,alert_numeric_high_risk,alert_broad_N_or_spread,lower_concern_screen
SANG_CMR_EXT_011,R38322890,"2H-1-Benzopyran-2-one, 7-methoxy-",531-59-9,COc1ccc2ccc(=O)oc2c1,LIIALPBMIOVAHH-UHFFFAOYSA-N,2.13,0,N = 0,1.5 ≤ logP ≤ 3.0,3,176.17099999999996,39.44,0,3,13,False,True,True,False,False,COC1=CC=C2C=CC(=O)OC2=C1,C10H8O3,LIIALPBMIOVAHH,True,False,False,True,True,COc1ccc2c(c1)oc(=O)cc2,,0.19,1.8,1.34,1.07,1.1,,,1.94,1.94,0.32999999999999985,0.32999999999999985,0.7899999999999998,0.7899999999999998,1.0599999999999998,1.0599999999999998,1.0299999999999998,1.0299999999999998,1.61,False,False,False,False,False,True
SANG_CMR_EXT_012,R38325466,"2H-Thieno[3,2-g]-1-benzopyran-2-one",144190-41-0,O=c1ccc2cc3ccsc3cc2o1,MVYJHOJFBCLVIB-UHFFFAOYSA-N,2.27,0,N = 0,1.5 ≤ logP ≤ 3.0,2,202.234,30.21,0,3,14,False,True,True,False,False,O=C1OC2=C(C=C1)C=C1C=CSC1=C2,C11H6O2S,MVYJHOJFBCLVIB,True,False,False,True,True,O=c1ccc2c(o1)cc1c(c2)ccs1,,1.24,3.01,2.36,2.8,2.35,,,1.03,1.03,-0.7399999999999998,0.7399999999999998,-0.08999999999999986,0.08999999999999986,-0.5299999999999998,0.5299999999999998,-0.08000000000000007,0.08000000000000007,1.7699999999999998,True,False,False,False,False,True
SANG_CMR_EXT_013,R38325469,"2H-Furo[2,3-H]-1-benzopyran-2-one",523-50-2,O=c1ccc2ccc3occc3c2o1,XDROKJSWHURZGO-UHFFFAOYSA-N,2.08,0,N = 0,1.5 ≤ logP ≤ 3.0,3,186.166,43.35,0,3,14,False,True,True,False,False,O=C1OC2=C3C=COC3=CC=C2C=C1,C11H6O3,XDROKJSWHURZGO,True,False,False,True,True,O=c1ccc2c(o1)c1ccoc1cc2,,0.62,2.54,1.48,1.55,1.55,,,1.46,1.46,-0.45999999999999996,0.45999999999999996,0.6000000000000001,0.6000000000000001,0.53,0.53,0.53,0.53,1.92,False,False,False,False,False,True
SANG_CMR_EXT_014,R38325586,"2H-1-Benzopyran-2-one, 3-acetyl-",3949-36-8,CC(=O)c1cc2ccccc2oc1=O,CSPIFKKOBWYOEX-UHFFFAOYSA-N,1.5,0,N = 0,1.5 ≤ logP ≤ 3.0,3,188.182,47.28,0,3,14,False,True,True,False,False,CC(=O)C1=CC2=CC=CC=C2OC1=O,C11H8O3,CSPIFKKOBWYOEX,True,False,False,True,True,CC(=O)c1cc2ccccc2oc1=O,,0.32,2.0,1.29,1.39,1.25,,,1.18,1.18,-0.5,0.5,0.20999999999999996,0.20999999999999996,0.1100000000000001,0.1100000000000001,0.25,0.25,1.68,False,False,False,False,False,True
SANG_CMR_EXT_015,R38325789,7-Methoxy-4-methylcoumarin,2555-28-4,COc1ccc2c(C)cc(=O)oc2c1,UDFPKNSWSYBIHO-UHFFFAOYSA-N,3.16,0,N = 0,logP > 3.0,3,190.198,39.44,0,3,14,False,True,True,False,False,COC1=CC2=C(C=C1)C(C)=CC(=O)O2,C11H10O3,UDFPKNSWSYBIHO,True,False,False,True,True,COc1ccc2c(c1)oc(=O)cc2C,,1.1,2.11,1.63,1.51,1.59,,,2.06,2.06,1.0500000000000003,1.0500000000000003,1.5300000000000002,1.5300000000000002,1.6500000000000001,1.6500000000000001,1.57,1.57,1.0099999999999998,False,False,False,False,False,True
SANG_CMR_EXT_016,R38325792,"2H-1-Benopyran-2-one, 6,7-dimethoxy-",120-08-1,COc1cc2ccc(=O)oc2cc1OC,GUAFOGOEJLSQBT-UHFFFAOYSA-N,2.45,0,N = 0,1.5 ≤ logP ≤ 3.0,4,206.197,48.67,0,4,15,False,True,True,False,False,COC1=CC2=C(C=CC(=O)O2)C=C1OC,C11H10O4,GUAFOGOEJLSQBT,True,False,False,False,True,COc1cc2oc(=O)ccc2cc1OC,,0.16,1.81,1.05,1.06,1.02,,,2.29,2.29,0.6400000000000001,0.6400000000000001,1.4000000000000001,1.4000000000000001,1.3900000000000001,1.3900000000000001,1.4300000000000002,1.4300000000000002,1.6500000000000001,False,False,False,False,False,True
SANG_CMR_EXT_017,R38328630,"2H-FURO[2,3-H]-1-BENZOPYRAN-2-ONE, 4-METHYL-",6457-92-7,Cc1cc(=O)oc2c1ccc1occc12,HCYYGOURSFQHRV-UHFFFAOYSA-N,2.34,0,N = 0,1.5 ≤ logP ≤ 3.0,3,200.193,43.35,0,3,15,False,True,True,False,False,CC1=CC(=O)OC2=C3C=COC3=CC=C12,C12H8O3,HCYYGOURSFQHRV,True,False,False,True,True,O=c1cc(C)c2c(o1)c1ccoc1cc2,,1.53,2.85,1.76,1.98,2.03,,,0.8099999999999998,0.8099999999999998,-0.5100000000000002,0.5100000000000002,0.5799999999999998,0.5799999999999998,0.3599999999999999,0.3599999999999999,0.31000000000000005,0.31000000000000005,1.32,False,False,False,False,False,True
SANG_CMR_EXT_018,R38328632,"2H-Furo[2,3-h]-1-benzopyran-2-one, 5-methyl-",73459-03-7,Cc1cc2occc2c2oc(=O)ccc12,ZJVOHJVSTORGLI-UHFFFAOYSA-N,2.5,0,N = 0,1.5 ≤ logP ≤ 3.0,3,200.193,43.35,0,3,15,False,True,True,False,False,CC1=C2C=CC(=O)OC2=C2C=COC2=C1,C12H8O3,ZJVOHJVSTORGLI,True,False,False,True,True,O=c1ccc2c(o1)c1ccoc1cc2C,,0.99,2.85,1.76,2.0,1.9,,,1.51,1.51,-0.3500000000000001,0.3500000000000001,0.74,0.74,0.5,0.5,0.6000000000000001,0.6000000000000001,1.86,False,False,False,False,False,True
SANG_CMR_EXT_019,R38328634,"2H-FURO[2,3-H]-1-BENZOPYRAN-2-ONE, 8-METHYL-",15798-77-3,Cc1cc2c(ccc3ccc(=O)oc32)o1,VVZYOVZUPIFCCR-UHFFFAOYSA-N,2.49,0,N = 0,1.5 ≤ logP ≤ 3.0,3,200.193,43.35,0,3,15,False,True,True,False,False,CC1=CC2=C3OC(=O)C=CC3=CC=C2O1,C12H8O3,VVZYOVZUPIFCCR,True,False,False,True,True,O=c1ccc2c(o1)c1cc(oc1cc2)C,,1.02,2.85,1.76,2.0,1.91,,,1.4700000000000002,1.4700000000000002,-0.3599999999999999,0.3599999999999999,0.7300000000000002,0.7300000000000002,0.4900000000000002,0.4900000000000002,0.5800000000000003,0.5800000000000003,1.83,False,False,False,False,False,True
SANG_CMR_EXT_020,R38328636,"2H-FURO[2,3-H]-1-BENZOPYRAN-2-ONE, 9-METHYL-",78982-40-8,Cc1coc2ccc3ccc(=O)oc3c12,NHOICFAHZSXGJY-UHFFFAOYSA-N,2.51,0,N = 0,1.5 ≤ logP ≤ 3.0,3,200.193,43.35,0,3,15,False,True,True,False,False,CC1=COC2=CC=C3C=CC(=O)OC3=C12,C12H8O3,NHOICFAHZSXGJY,True,False,False,True,True,O=c1ccc2c(o1)c1c(C)coc1cc2,,0.99,2.85,1.76,2.0,1.9,,,1.5199999999999998,1.5199999999999998,-0.3400000000000003,0.3400000000000003,0.7499999999999998,0.7499999999999998,0.5099999999999998,0.5099999999999998,0.6099999999999999,0.6099999999999999,1.86,False,False,False,False,False,True
