Compound_ID,atom_index_0based,atom_index_1based,element,Mulliken_charge,Loewdin_charge,is_heavy_atom,sp_output,opt_xyz
CMR_GOLD_090,10,11,O,-0.254354,-0.061055,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\output\CMR_GOLD_090_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\geometry\CMR_GOLD_090_opt.xyz
CMR_GOLD_090,11,12,O,-0.331604,-0.247235,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\output\CMR_GOLD_090_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\geometry\CMR_GOLD_090_opt.xyz
CMR_GOLD_090,12,13,C,-0.125281,0.127018,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\output\CMR_GOLD_090_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\geometry\CMR_GOLD_090_opt.xyz
CMR_GOLD_090,13,14,C,0.127426,-0.048056,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\output\CMR_GOLD_090_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\geometry\CMR_GOLD_090_opt.xyz
CMR_GOLD_090,14,15,N,-0.083723,0.087822,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\output\CMR_GOLD_090_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\geometry\CMR_GOLD_090_opt.xyz
CMR_GOLD_090,15,16,C,0.262513,0.055345,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\output\CMR_GOLD_090_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\geometry\CMR_GOLD_090_opt.xyz
CMR_GOLD_090,16,17,C,-0.111706,-0.094873,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\output\CMR_GOLD_090_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\geometry\CMR_GOLD_090_opt.xyz
CMR_GOLD_090,17,18,C,-0.042795,-0.007388,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\output\CMR_GOLD_090_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\geometry\CMR_GOLD_090_opt.xyz
CMR_GOLD_090,18,19,C,-0.099097,-0.098943,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\output\CMR_GOLD_090_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\geometry\CMR_GOLD_090_opt.xyz
CMR_GOLD_090,19,20,C,0.229297,0.055181,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\output\CMR_GOLD_090_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\geometry\CMR_GOLD_090_opt.xyz
CMR_GOLD_090,20,21,O,-0.330338,-0.113003,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\output\CMR_GOLD_090_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\geometry\CMR_GOLD_090_opt.xyz
CMR_GOLD_090,21,22,C,0.171638,0.083,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\output\CMR_GOLD_090_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\geometry\CMR_GOLD_090_opt.xyz
CMR_GOLD_090,22,23,C,-0.142247,-0.103891,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\output\CMR_GOLD_090_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\geometry\CMR_GOLD_090_opt.xyz
CMR_GOLD_090,23,24,C,0.213144,0.055976,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\output\CMR_GOLD_090_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\geometry\CMR_GOLD_090_opt.xyz
CMR_GOLD_090,24,25,O,-0.338179,-0.105089,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\output\CMR_GOLD_090_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\geometry\CMR_GOLD_090_opt.xyz
CMR_GOLD_090,25,26,C,0.175312,0.085663,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\output\CMR_GOLD_090_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_090\geometry\CMR_GOLD_090_opt.xyz
CMR_GOLD_020,0,1,O,-0.234193,-0.209664,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,1,2,C,0.211253,0.100282,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,2,3,O,-0.232439,-0.027788,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,3,4,C,0.136485,0.077489,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,4,5,C,0.067784,-0.059148,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,5,6,C,0.079291,-0.006141,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,6,7,C,0.054222,-0.029011,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,7,8,C,-0.0312,-0.011116,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,8,9,C,0.015572,-0.028439,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,9,10,C,0.018857,-0.016414,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,10,11,C,-0.062638,-0.022773,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,11,12,C,-0.009908,0.016399,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,12,13,C,-0.016361,-0.039429,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,13,14,C,0.000615,0.053762,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,14,15,C,-0.019623,-0.087299,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
