Compound_ID,Atom_index_0based,Atom_index_1based,Element,Mulliken_charge,Loewdin_charge,Is_heavy_atom,Is_N,Is_O
CMR_GOLD_016,0,1,O,-0.317274,-0.232171,True,False,True
CMR_GOLD_016,1,2,C,0.26429,0.109531,True,False,False
CMR_GOLD_016,2,3,C,-0.189117,-0.145149,True,False,False
CMR_GOLD_016,3,4,C,0.027914,-0.042039,True,False,False
CMR_GOLD_016,4,5,C,0.170196,0.089693,True,False,False
CMR_GOLD_016,5,6,O,-0.295044,-0.080793,True,False,True
CMR_GOLD_016,6,7,C,0.178179,0.099626,True,False,False
CMR_GOLD_016,7,8,C,-0.015839,-0.062842,True,False,False
CMR_GOLD_016,8,9,O,-0.258985,-0.213744,True,False,True
CMR_GOLD_016,9,10,C,-0.179992,-0.138142,True,False,False
CMR_GOLD_016,10,11,C,0.202107,0.108086,True,False,False
CMR_GOLD_016,11,12,O,-0.188612,-0.022249,True,False,True
CMR_GOLD_016,12,13,C,0.004684,-0.069438,True,False,False
CMR_GOLD_016,13,14,C,-0.028841,0.005997,True,False,False
CMR_GOLD_016,14,15,C,0.024567,-0.026115,True,False,False
CMR_GOLD_016,15,16,C,0.0237,0.003196,True,False,False
CMR_GOLD_016,16,17,C,-0.032635,-0.034487,True,False,False
CMR_GOLD_016,17,18,C,0.174174,0.074137,True,False,False
CMR_GOLD_016,18,19,O,-0.218444,-0.019014,True,False,True
CMR_GOLD_016,19,20,C,0.265188,0.11122,True,False,False
CMR_GOLD_016,20,21,O,-0.32169,-0.222688,True,False,True
CMR_GOLD_016,21,22,C,0.215719,0.106723,True,False,False
CMR_GOLD_016,22,23,O,-0.188076,-0.018131,True,False,True
CMR_GOLD_016,23,24,C,0.000825,-0.069481,True,False,False
CMR_GOLD_016,24,25,C,-0.029867,0.004964,True,False,False
CMR_GOLD_016,25,26,C,0.024133,-0.027293,True,False,False
CMR_GOLD_016,26,27,C,0.02305,0.002159,True,False,False
CMR_GOLD_016,27,28,C,-0.033302,-0.035524,True,False,False
CMR_GOLD_016,28,29,C,0.1763,0.072692,True,False,False
CMR_GOLD_016,29,30,O,-0.220135,-0.021232,True,False,True
