Dataset,n,Consensus_mean_bias,Consensus_median_bias,Consensus_MAE,Consensus_RMSE,Overestimated_n,Overestimated_percent,N0_n,N0_mean_bias,Npos_n,Npos_mean_bias,Npos_minus_N0_bias_shift,Polar_logP_le_1_n,Polar_logP_le_1_mean_bias,Polar_logP_le_1_RMSE,Highrisk_N1_3_logP_lt_1p5_n,Highrisk_N1_3_logP_lt_1p5_mean_bias,Highrisk_N1_3_logP_lt_1p5_MAE
Full dataset: STRICT-GOLD + GOLD + EXTENDED,95,-0.8791852631578948,-0.8800000000000001,1.1636063157894738,1.510961401715373,74,77.89473684210526,11,0.1986363636363636,84,-1.0203285714285715,-1.218964935064935,16,-2.0839125,2.4525545605551775,13,-2.0271230769230764,2.0271230769230764
High-confidence: STRICT-GOLD + GOLD,76,-0.7622973684210527,-0.44999999999999996,1.1178236842105265,1.530039103215477,55,72.36842105263158,11,0.1986363636363636,65,-0.9249169230769232,-1.1235532867132867,14,-2.1973999999999996,2.576073714561977,10,-2.21286,2.21286
STRICT-GOLD only,52,-0.6733384615384613,-0.42999999999999994,1.128723076923077,1.6005277432531673,38,73.07692307692307,11,0.1986363636363636,41,-0.9072829268292683,-1.1059192904656319,13,-2.258738461538461,2.644968822849554,9,-2.303177777777778,2.303177777777778
