Compound_ID,SMILES,FM,N_count,logP_exp,Consensus,delta_Consensus,Spread4,Coumarin_Type,Structural_Class,overestimated,severe_overestimation,severe_error_abs_ge_2,A1_high_spread4,A2_high_consensus,A3_high_spread4_and_high_consensus,A4_n_bearing_high_spread4_high_consensus,A5_n_bearing_conjugated_high_spread4_or_high_consensus,A6_n_1_3_conjugated_high_spread4_or_high_consensus,A7_n_ge_4_mixed_highN_provisional,A8_n_free_pi_extended_boundary,A9_lower_concern_screen
CMR_GOLD_021,O=C1OC2=C(C=C(Cl)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,FM2,3,3.059,4.99,-1.931,2.8699999999999997,conjugated_coumarin,,True,False,False,True,True,True,True,True,True,False,False,False
CMR_GOLD_022,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,FM2,3,3.002,5.4,-2.398000000000001,3.3000000000000003,conjugated_coumarin,,True,True,True,True,True,True,True,True,True,False,False,False
CMR_GOLD_023,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,FM2,3,3.067,5.07,-2.003,2.8099999999999996,conjugated_coumarin,,True,True,True,True,True,True,True,True,True,False,False,False
CMR_GOLD_024,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,FM2,3,3.602,5.23,-1.6280000000000006,3.45,conjugated_coumarin,,True,False,False,True,True,True,True,True,True,False,False,False
CMR_GOLD_025,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,FM2,3,3.336,5.4,-2.0640000000000005,3.32,conjugated_coumarin,,True,True,True,True,True,True,True,True,True,False,False,False
CMR_GOLD_026,CCC(C1=C(C2=C(C=CC=C2)OC1=O)O)C3=CC=CC=C3,FM4,0,3.04,3.61,-0.5699999999999998,1.2400000000000002,drug_like_coumarin,,True,False,False,False,True,False,False,False,False,False,False,False
CMR_GOLD_027,O=C1OC2=C(C=CC(OCC(O)CN3C=NC=N3)=C2)C(C)=C1,FM1,3,0.45,1.33,-0.8800000000000001,0.87,conjugated_coumarin,,True,False,False,False,False,False,False,False,False,False,False,False
CMR_GOLD_028,O=C1OC2=C(C=CC(OCC(O)CN3N=NC4=C3C=CC=C4)=C2)C(C)=C1,FM1,3,0.6,2.35,-1.75,0.73,conjugated_coumarin,,True,False,False,False,False,False,False,False,False,False,False,False
CMR_GOLD_029,O=C1OC2=C(C=CC(OCC(O)CN3C=NC4=C3C=CC=C4)=C2)C(C)=C1,FM1,2,0.55,2.59,-2.04,1.32,conjugated_coumarin,,True,True,True,False,False,False,False,False,False,False,False,False
CMR_GOLD_030,O=C1OC2=C(C=CC(OCC(O)CN3C=NC4=C3C=C(C)C(C)=C4)=C2)C(C)=C1,FM1,2,0.61,3.24,-2.6300000000000003,1.9299999999999997,conjugated_coumarin,,True,True,True,False,True,False,False,True,True,False,False,False
CMR_GOLD_031,O=C1OC2=C(C=CC(OCC(O)CSC3=NC4=CC=CC=C4N3)=C2)C(C)=C1,FM1,2,0.49,3.17,-2.68,2.2,conjugated_coumarin,,True,True,True,True,True,True,True,True,True,False,False,False
CMR_GOLD_032,OC(COC1=CC(OCC(CN2C=NC=N2)O)=CC3=C1C(C)=CC(O3)=O)CN4C=NC=N4,FM3,6,0.65,0.66,-0.01,0.6799999999999999,conjugated_coumarin,,True,False,False,False,False,False,False,False,False,True,False,False
CMR_GOLD_033,O=C1OC2=C(C(OCC(O)CN3N=NC4=C3C=CC=C4)=CC(OCC(O)CN5N=NC6=C5C=CC=C6)=C2)C(C)=C1,FM3,6,0.48,2.61,-2.13,0.41999999999999993,conjugated_coumarin,,True,True,True,False,False,False,False,False,False,True,False,False
CMR_GOLD_034,OC(COC1=CC(OCC(CN2C=NC3=C2C=CC=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=CC=C6,FM3,4,0.49,3.02,-2.53,1.9700000000000002,conjugated_coumarin,,True,True,True,False,True,False,False,True,False,True,False,False
CMR_GOLD_035,OC(COC1=CC(OCC(CN2C=NC3=C2C=C(C)C(C)=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=C(C)C(C)=C6,FM3,4,0.61,4.42,-3.81,3.4000000000000004,conjugated_coumarin,,True,True,True,True,True,True,True,True,False,True,False,False
CMR_GOLD_036,OC(COC1=CC(OCC(CSC2=NC3=CC=CC=C3N2)O)=CC4=C1C(C)=CC(O4)=O)CSC5=NC6=CC=CC=C6N5,FM3,4,0.58,4.25,-3.67,3.74,conjugated_coumarin,,True,True,True,True,True,True,True,True,False,True,False,False
CMR_GOLD_037,O=C1OC2=CC=CC=C2C(/C(NC3=CC=CC=C3)=N\O)=C1Cl,FM2,2,2.58,3.22,-0.6400000000000001,0.18999999999999995,amidoxime,,True,False,False,False,True,False,False,False,False,False,False,False
CMR_GOLD_038,O=C1OC2=CC=CC=C2C(/C(NC3=CC=C(C)C=C3)=N\O)=C1Cl,FM2,2,2.89,3.59,-0.6999999999999997,0.31000000000000005,amidoxime,,True,False,False,False,True,False,False,False,False,False,False,False
CMR_GOLD_039,O=C1OC2=CC=CC=C2C(/C(NC3CCCCC3)=N\O)=C1Cl,FM2,2,2.78,3.35,-0.5700000000000003,0.48,amidoxime,,True,False,False,False,True,False,False,False,False,False,False,False
CMR_GOLD_040,O=C1OC2=CC=CC=C2C(/C(CCO)=N\O)=C1Cl,FM1,1,0.22,1.9,-1.68,1.61,amidoxime (hydroxyimino-alkyl),,True,False,False,False,False,False,False,False,False,False,False,True
CMR_GOLD_041,O=C1OC2=CC=CC=C2C(/C(N)=N\OC(C)=O)=C1,FM1,2,1.0,1.36,-0.3600000000000001,0.83,amidoxime (O-acetyl),,True,False,False,False,False,False,False,False,False,False,False,True
CMR_GOLD_042,O=C1OC2=CC=CC=C2C(/C=N\NC3=CC=CC=C3)=C1,FM2,2,3.63,2.96,0.6699999999999999,0.9500000000000002,hydrazone,,False,False,False,False,False,False,False,False,False,False,False,False
CMR_GOLD_043,O=C1OC2=CC=CC=C2C(C3=NOC=N3)=C1,FM2,2,1.95,1.78,0.1699999999999999,1.0199999999999998,oxadiazole,,False,False,False,False,False,False,False,False,False,False,False,True
CMR_GOLD_044,O=C1OC2=CC=CC=C2C(C3=NOC(C)=N3)=C1,FM2,2,2.12,2.15,-0.0299999999999998,1.16,oxadiazole,,True,False,False,False,False,False,False,False,False,False,False,True
CMR_GOLD_045,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=CC=C4)=N3)=C1,FM2,2,3.22,3.26,-0.0399999999999995,0.8300000000000001,oxadiazole,,True,False,False,False,True,False,False,False,False,False,False,False
CMR_GOLD_046,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=C(OC)C=C4)=N3)=C1,FM2,2,2.98,3.27,-0.29,1.15,oxadiazole,,True,False,False,False,True,False,False,False,False,False,False,False
CMR_GOLD_047,O=C1OC2=CC=CC=C2C(C3=NOCN3)=C1,FM2,2,1.98,1.45,0.53,2.22,"oxadiazoline (4,5-dihydro-1,2,4-oxadiazole)",,False,False,False,True,False,False,False,False,False,False,False,False
CMR_GOLD_048,O=C1OC2=CC=CC=C2C(C3=NOC(C)N3)=C1,FM2,2,1.93,1.75,0.1799999999999999,1.8699999999999997,oxadiazoline,,False,False,False,False,False,False,False,False,False,False,False,True
CMR_GOLD_049,O=C1OC2=CC=CC=C2C(C3=NOCN3C4=CC=CC=C4)=C1,FM2,2,2.45,2.88,-0.4299999999999997,1.3199999999999998,oxadiazoline,,True,False,False,False,False,False,False,False,False,False,False,True
CMR_GOLD_050,O=C1OC2=CC=CC=C2C(C3=NOC(C)N3C4=CC=CC=C4)=C1,FM2,2,2.7,3.15,-0.4499999999999997,1.17,oxadiazoline,,True,False,False,False,True,False,False,False,False,False,False,False
CMR_GOLD_051,O=C1OC2=CC=CC=C2C(C3=NOC(N3C4=CC=CC=C4)=S)=C1,FM2,2,3.03,3.48,-0.4500000000000002,1.4300000000000002,thioxo-oxadiazoline,,True,False,False,False,True,False,False,False,False,False,False,False
CMR_GOLD_052,O=C1OC2=CC=CC=C2C(C3=NOS(N3C4=CC=CC=C4)=O)=C1,FM2,2,2.16,2.57,-0.4099999999999997,1.2300000000000002,oxathiadiazole sulfoxide,,True,False,False,False,False,False,False,False,False,False,False,False
CMR_GOLD_053,O=C1OC2=CC=CC=C2C(C3=NC(C4=CC=C(OC)C=C4)=NO3)=C1,FM2,2,3.07,3.17,-0.1,1.5499999999999998,oxadiazole,,True,False,False,False,True,False,False,False,False,False,False,False
CMR_GOLD_054,O=C1OC2=CC=CC=C2C(C3ON=C(C4=CC=C(OC)C=C4)O3)=C1,FM2,1,3.04,3.14,-0.1,1.38,dioxazole,,True,False,False,False,True,False,False,False,False,False,False,False
CMR_GOLD_055,O=C1OC2=C(C=CC=C2)C=C1,FM0,0,1.39,1.82,-0.4300000000000001,1.11,Parent core (unsubstituted),,True,False,False,False,False,False,False,False,False,False,False,False
CMR_GOLD_056,O=C1OC2=C(C=CC=C2)C=C1/N=C(C(C=CC=C3)=C3N4)/C4=N/CC(O)=O,FM1,3,0.42,1.82,-1.4,1.11,3-imino-coumarin derivative,,True,False,False,False,False,False,False,False,False,False,False,False
CMR_GOLD_057,O=C1C(/C=C/C(C2=CC=C(C3=CC=C(N(C)C)C=C3)S2)=O)=CC4=C(C=C(N(C)C)C=C4)O1,FM1,2,1.365,4.88,-3.515,2.84,7-amino-substituted D-π-A coumarin,,True,True,True,True,True,True,True,True,True,False,False,False
CMR_GOLD_058,O=C1C(/C=C/C(C2=CC=C(C3=CC=C(N(CC)CC)C=C3)S2)=O)=CC4=C(C=C(N(CC)CC)C=C4)O1,FM1,2,0.9664,6.16,-5.1936,3.6799999999999997,7-amino-substituted D-π-A coumarin,,True,True,True,True,True,True,True,True,True,False,False,False
CMR_GOLD_059,O=C1C=CC2=C(C=C3C(C=CO3)=C2)O1,FM0,0,1.67,2.12,-0.4500000000000002,1.4300000000000002,Furocoumarin,,True,False,False,False,False,False,False,False,False,False,False,True
CMR_GOLD_060,O=C1C=CC2=C(C(OC)=C3C(C=CO3)=C2)O1,FM0,0,1.93,2.16,-0.2300000000000002,1.7,Furocoumarin,,True,False,False,False,False,False,False,False,False,False,False,True
CMR_GOLD_061,O=C1C=CC2=C(C=C3C(C=CO3)=C2OC)O1,FM0,0,2.0,2.16,-0.1600000000000001,1.7,Furocoumarin,,True,False,False,False,False,False,False,False,False,False,False,True
CMR_GOLD_062,O=C1C=C(C)C2=C(C(C)=C3C(C=C(C)O3)=C2)O1,FM4,0,3.14,3.19,-0.0499999999999998,2.0300000000000002,Furocoumarin,,True,False,False,True,True,True,False,False,False,False,False,False
CMR_GOLD_063,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=CC=C5,FM3,4,1.412,2.34,-0.928,2.84,triazolo_thiadiazinyl_coumarin,,True,False,False,True,False,False,False,False,False,True,False,False
CMR_GOLD_064,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC(Br)=CC=C5,FM3,4,1.63,3.09,-1.46,2.78,triazolo_thiadiazinyl_coumarin,,True,False,False,True,True,True,True,False,False,True,False,False
CMR_GOLD_065,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Br)C=C5,FM3,4,1.58,3.05,-1.4699999999999998,2.78,triazolo_thiadiazinyl_coumarin,,True,False,False,True,True,True,True,False,False,True,False,False
CMR_GOLD_066,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=C(O)C=CC=C5,FM3,4,0.826,2.05,-1.2239999999999998,2.79,triazolo_thiadiazinyl_coumarin,,True,False,False,True,False,False,False,False,False,True,False,False
CMR_GOLD_067,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(O)C=C5,FM3,4,0.645,2.0,-1.355,2.79,triazolo_thiadiazinyl_coumarin,,True,False,False,True,False,False,False,False,False,True,False,False
CMR_GOLD_068,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Cl)C=C5,FM3,4,1.501,2.97,-1.4690000000000003,2.8199999999999994,triazolo_thiadiazinyl_coumarin,,True,False,False,True,False,False,False,False,False,True,False,False
CMR_GOLD_069,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(C)C=C5,FM3,4,1.806,2.7,-0.8940000000000001,2.9,triazolo_thiadiazinyl_coumarin,,True,False,False,True,False,False,False,False,False,True,False,False
CMR_GOLD_070,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=NC=C5,FM3,5,1.22,1.68,-0.4599999999999999,2.38,triazolo_thiadiazinyl_coumarin,,True,False,False,True,False,False,False,False,False,True,False,False
