N_group,logP < 1.5,1.5 ≤ logP ≤ 3.0,logP > 3.0
N = 0,-0.4300000000000001,-0.22700000000000015,0.75
N = 1–3,-2.027123076923077,-0.747923076923077,-1.0506111111111112
N ≥ 4,-1.7777272727272726,-0.24275000000000002,0.36749999999999994
